project,collector,date,Plot_ID,Legacy_7G,observation_ID,Bat_ID,Bat_sp,Bat_acronym,Dispertion_ID,Seed_Morpho,Family,Seed_sp
SP04,SE,25/03/2022,PR23,PR_early,1,b0002,Carollia_perspicillata,Car_per,d0001,M_01,Salicaceae,Banara_guianensis
SP04,SE,25/03/2022,PR23,PR_early,1,b0003,Carollia_castanea,Car_cas,d0002,M_03,Piperaceae,Piper_ottoniifolium
SP04,SE,25/03/2022,PR23,PR_early,1,b0004,Carollia_castanea,Car_cas,d0003,M_04,Piperaceae,Piper_multiplinervium
SP04,SE,25/03/2022,PR23,PR_early,1,b0006,Carollia_castanea,Car_cas,d0004,M_05,Piperaceae,Piper_sp1
SP04,SE,25/03/2022,PR23,PR_early,1,b0006,Carollia_castanea,Car_cas,d0005,M_06,Solanaceae,Solanum_erianthum
SP04,SE,25/03/2022,PR23,PR_early,1,b0007,Lichonycteris_obscura,Lic_obs,d0006,M_07,Melastomataceae,Conostegia_cuatrecasasii
SP04,SE,25/03/2022,PR23,PR_early,1,b0010,Dermanura_rosenbergi,Der_ros,d0007,M_01,Salicaceae,Banara_guianensis
SP04,SE,25/03/2022,PR23,PR_early,1,b0011,Carollia_brevicaudum,Car_bre,d0008,M_08,Piperaceae,Piper_longifolium
SP04,SE,25/03/2022,PR23,PR_early,1,b0013,Dermanura_rosenbergi,Der_ros,d0009,M_07,Melastomataceae,Conostegia_cuatrecasasii
SP04,SE,25/03/2022,PR23,PR_early,1,b0014,Carollia_brevicaudum,Car_bre,d0010,M_09,Hypericaceae,Vismia_baccifera
SP04,SE,25/03/2022,PR23,PR_early,1,b0016,Dermanura_rosenbergi,Der_ros,d0011,M_10,Undetermined,Morpho_1
SP04,SE,25/03/2022,PR23,PR_early,1,b0017,Dermanura_ravus,Der_rav,d0012,M_06,Solanaceae,Solanum_erianthum
SP04,SE,26/03/2022,PR23,PR_early,2,b0020,Dermanura_ravus,Der_rav,d0013,M_11,Moraceae,Ficus_paraensis
SP04,SE,26/03/2022,PR23,PR_early,2,b0023,Carollia_castanea,Car_cas,d0014,M_03,Piperaceae,Piper_ottoniifolium
SP04,SE,26/03/2022,PR23,PR_early,2,b0024,Dermanura_rosenbergi,Der_ros,d0015,M_06,Solanaceae,Solanum_erianthum
SP04,SE,26/03/2022,PR23,PR_early,2,b0025,Carollia_castanea,Car_cas,d0016,M_05,Piperaceae,Piper_sp1
SP04,SE,26/03/2022,PR23,PR_early,2,b0025,Carollia_castanea,Car_cas,d0017,M_12,Piperaceae,Piper_longifolium
SP04,SE,26/03/2022,PR23,PR_early,2,b0028,Carollia_castanea,Car_cas,d0018,M_05,Piperaceae,Piper_sp1
SP04,SE,26/03/2022,PR23,PR_early,2,b0033,Carollia_perspicillata,Car_per,d0019,M_13,Solanaceae,Solanum_sp2
SP04,SE,26/03/2022,PR23,PR_early,2,b0035,Carollia_perspicillata,Car_per,d0020,M_14,Araceae,Philodendron_sp1
SP04,SE,26/03/2022,PR23,PR_early,2,b0036,Dermanura_rosenbergi,Der_ros,d0021,M_07,Melastomataceae,Conostegia_cuatrecasasii
SP04,SE,26/03/2022,PR23,PR_early,2,b0038,Dermanura_rosenbergi,Der_ros,d0022,M_15,Salicaceae,Morpho_18
SP04,SE,26/03/2022,PR23,PR_early,2,b0040,Carollia_perspicillata,Car_per,d0023,M_13,Solanaceae,Solanum_sp2
SP04,SE,26/03/2022,PR23,PR_early,2,b0042,Carollia_castanea,Car_cas,d0024,M_14,Araceae,Philodendron_sp1
SP04,SE,27/03/2022,PR23,PR_early,3,b0043,Carollia_castanea,Car_cas,d0025,M_16,Piperaceae,Piper_sp1
SP04,SE,27/03/2022,PR23,PR_early,3,b0044,Carollia_castanea,Car_cas,d0026,M_16,Piperaceae,Piper_sp1
