Plot_ID,individual_ID_primary,individual_ID_secondary,type,unit,value,uncertainty,comment,interaction_ID,taxon,animal_species,timeStart,timeEnd,plant_species,PREX,Matrix,Latitude,Longitude,Elevation,Treatment,Treatment2,Regeneration_year,RegTime,method,Legacy
CA59,SP04-ARL_230413_CA59_0190-p0359,SP04-ARL_230411_CA59_0223-r0157,Dropped,seed,8,NA,,SP04-ARL_230411_CA59_0223-r0157-I0172,Didelphimorphia,Didelphis_marsupialis,02:21,02:29,Theobroma_cacao,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,camera_trap,cacao
CA59,SP04-ARL_230413_CA59_0190-p0359,SP04-ARL_230412_CA59_0224-r0159,Dropped,seed,2,NA,,SP04-ARL_230412_CA59_0224-r0159-I0174,Didelphimorphia,Didelphis_marsupialis,00:48,00:52,Theobroma_cacao,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,camera_trap,cacao
CA59,SP04-ARL_230413_CA59_0190-p0359,SP04-ARL_230412_CA59_0224-r0160,Dropped,seed,2,NA,,SP04-ARL_230412_CA59_0224-r0160-I0175,Didelphimorphia,Didelphis_marsupialis,01:01,01:02,Theobroma_cacao,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,camera_trap,cacao
CA59,SP04-ARL_230413_CA59_0190-p0359,SP04-ARL_230411_CA59_0223-r0158,Dropped,seed,7,NA,,SP04-ARL_230411_CA59_0223-r0158-I0173,Didelphimorphia,Didelphis_marsupialis,02:37,02:38,Theobroma_cacao,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,camera_trap,cacao
CA61,SP04-ARL_221012_CA61_0106-p0268,SP04-ARL_000100_CA61_0106-r0074,Bitten,seed,1,NA,,SP04-ARL_000100_CA61_0106-r0074-I0086,Didelphimorphia,Didelphis_marsupialis,21:38,21:40,Theobroma_cacao,NA,NA,0.53400099,-79.18769603,324,active cacao,active cacao,NA,0,camera_trap,cacao
CA61,SP04-ARL_221012_CA61_0106-p0268,SP04-ARL_221012_CA61_0106-r0072,Bitten,seed,1,NA,,SP04-ARL_221012_CA61_0106-r0072-I0084,Didelphimorphia,Didelphis_marsupialis,01:57,01:58,Theobroma_cacao,NA,NA,0.53400099,-79.18769603,324,active cacao,active cacao,NA,0,camera_trap,cacao
CA61,SP04-ARL_221012_CA61_0106-p0268,SP04-ARL_000100_CA61_0106-r0073,Bitten,seed,1,NA,,SP04-ARL_000100_CA61_0106-r0073-I0085,Didelphimorphia,Didelphis_marsupialis,03:12,03:14,Theobroma_cacao,NA,NA,0.53400099,-79.18769603,324,active cacao,active cacao,NA,0,camera_trap,cacao
CA62,SP04-ARL_220417_CA62_0026-p0019,SP04-ARL_220413_CA62_0034-r0008,Bitten,fruit,1,NA,,SP04-ARL_220413_CA62_0034-r0008-I0011,Rodentia,Dasyprocta_punctata,07:06,07:07,Artocarpus_heterophyllus,PREX,NA,0.511049,-79.212168,372,active cacao,active cacao,NA,0,camera_trap,cacao
CA62,SP04-ARL_220417_CA62_0026-p0019,SP04-ARL_220414_CA62_0035-r0012,Bitten,seed,2,NA,,SP04-ARL_220414_CA62_0035-r0012-I0015,Rodentia,Dasyprocta_punctata,08:21,08:21,Artocarpus_heterophyllus,PREX,NA,0.511049,-79.212168,372,active cacao,active cacao,NA,0,camera_trap,cacao
CA62,SP04-ARL_220417_CA62_0026-p0019,SP04-ARL_220409_CA62_0032-r0005,Bitten,fruit,1,NA,,SP04-ARL_220409_CA62_0032-r0005-I0008,Didelphimorphia,Didelphis_marsupialis,06:29,06:30,Artocarpus_heterophyllus,PREX,NA,0.511049,-79.212168,372,active cacao,active cacao,NA,0,camera_trap,cacao
