,Plot_ID,individual_ID,species,comment,trait,value,unit,uncertainty,trait_ID,value_numeric,PREX,Matrix,Latitude,Longitude,Elevation,Treatment,Treatment2,Regeneration_year,RegTime,Legacy
1,,,NA,,SeedWeight,NA,g,,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,,,NA,,SeedWidth,NA,mm,,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,,,NA,,SeedLength,NA,mm,,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,CA59,SP04-ARL_230413_CA59_0190-p1056,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1056-T19258,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
5,CA59,SP04-ARL_230413_CA59_0190-p1006,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1006-T22268,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
6,CA59,SP04-ARL_230413_CA59_0190-p1067,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1067-T19269,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
7,CA59,SP04-ARL_230413_CA59_0190-p1007,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1007-T22269,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
8,CA59,SP04-ARL_230413_CA59_0190-p1005,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1005-T22267,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
9,CA59,SP04-ARL_230413_CA59_0190-p1033,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1033-T19235,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
10,CA59,SP04-ARL_230413_CA59_0190-p1068,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1068-T19270,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
11,CA59,SP04-ARL_230413_CA59_0190-p1066,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1066-T19268,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
12,CA59,SP04-ARL_230413_CA59_0190-p1037,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1037-T19239,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
13,CA59,SP04-ARL_230413_CA59_0190-p0948,Theobroma_cacao,,availability,CAFL,,,SP04-ARL_230413_CA59_0190-p0948-T23740,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
14,CA59,SP04-ARL_230413_CA59_0190-p0359,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p0359-T21621,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
15,CA59,SP04-ARL_230413_CA59_0190-p1032,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1032-T19234,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
16,CA59,SP04-ARL_230413_CA59_0190-p0359,Theobroma_cacao,,fruit_abundance,12,n_fruits,,SP04-ARL_230413_CA59_0190-p0359-T20091,12,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
17,CA59,SP04-ARL_230413_CA59_0190-p1008,Theobroma_cacao,,ripenness,ripe,,,SP04-ARL_230413_CA59_0190-p1008-T22270,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
18,CA59,SP04-ARL_230413_CA59_0190-p1069,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1069-T19271,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
19,CA59,SP04-ARL_230413_CA59_0190-p0950,Theobroma_cacao,,availability,CAFL,,,SP04-ARL_230413_CA59_0190-p0950-T23742,NA,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
20,CA59,SP04-ARL_230413_CA59_0190-p1070,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1070-T19272,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
21,CA59,SP04-ARL_230413_CA59_0190-p1036,Theobroma_cacao,,height,3,meters,,SP04-ARL_230413_CA59_0190-p1036-T19238,3,NA,NA,0.55730998,-79.179868,165,active cacao,active cacao,NA,0,cacao
