"Plot_ID","PREX","Matrix","Latitude","Longitude","Elevation","Treatment","Treatment2","Regeneration_year","RegTime","VerticalVH","Max_tree_height","AGB_all","AGB_wild","sr_all","sr_wild","Forest_1km","Forest_500m","Forest_100m","Distance_forest","Distance_edge","Patch_ha","Cacao_1km","Cacao_Reg1_1km","Cacao_Reg2_1km","Pasture_1km","Pasture_Reg1_1km","Pasture_Reg2_1km","Treatment3"
"CA59",NA,NA,0.55730998,-79.179868,165,"active cacao","active cacao",NA,0,1.263654432,10.32,2.78757636,1.135715083,5,4,0.334744548,0.248889287,0.042631574,66.69161594,0,18.47497618,0.104455453,0,0,0.364565424,0.02086769,0.238789131,"regeneration early"
"CA60",NA,NA,0.510266,-79.2272,440,"active cacao","active cacao",NA,0,1.359811239,17.02,22.89547604,22.81814609,7,6,0.719369501,0.593923654,0.133244033,17.96248297,0,2.371523785,0.093563555,0.002687054,0,0.068888324,0.047721523,0.030848394,"regeneration early"
"CA61",NA,NA,0.53400099,-79.18769603,324,"active cacao","active cacao",NA,0,0.600166073,12.02,12.65336125,4.732821144,8,3,0.797493026,0.57519646,0.072310924,54.99200716,0,3.916493022,0.037159297,0,0,0.040809053,0.118054456,0.006492066,"regeneration early"
"CA62","PREX",NA,0.511049,-79.212168,372,"active cacao","active cacao",NA,0,1.329297309,14.26,13.07772447,8.706743518,10,6,0.27522591,0.235225913,0,131.6154019,0,14.87673703,0.173076976,0.011717153,0,0.325901994,0.074895191,0.140092262,"regeneration early"
"CA63","PREX",NA,0.54401822,-79.14532595,240,"active cacao","active cacao",NA,0,0.655993054,9,11.46518859,0.709519795,4,1,0.831878546,0.563946651,0,143.8804478,0,0.843781839,0.035950858,0.000878625,0,0.070961582,0.060330387,0,"regeneration early"
"CA64","PREX",NA,0.54348119,-79.15456,256,"active cacao","active cacao",NA,0,1.201957015,0,0.170410762,0,1,0,0.675527478,0.582582413,0.160620653,35.0712228,0,5.376492331,0.043216191,0,0,0.094795001,0.092206374,0.094350404,"regeneration early"
"CR01",NA,NA,0.49654763,-79.17820655,560,"cacao regeneration","cacao regeneration early",2017,6,1.418910811,20.3,50.78292398,50.25192858,21,20,0.768249859,0.535918125,0.234387792,31.84108761,0,0.492452608,0,0.001567733,0,0,0.168387719,0.061794687,"regeneration early"
"CR02","PREX",NA,0.50150484,-79.22593494,400,"cacao regeneration","cacao regeneration early",2015,8,1.585347391,22.68,48.25308022,40.79876203,29,28,0.895991028,0.893265233,0.560552882,36.42346323,0,0.946003025,0.007981536,0.00301162,0,0.042462581,0.028721234,0.002383766,"regeneration early"
"CR03",NA,NA,0.50821205,-79.23688265,274,"cacao regeneration","cacao regeneration early",2018,5,1.66187336,14.12,11.19530618,11.19530618,7,7,0.737336434,0.768260698,0.53068171,33.08483423,0,1.458779104,0.006078268,0.004644053,0,0.039310394,0.135164401,0.040375475,"regeneration early"
"CR04","PREX",NA,0.51167917,-79.18947658,560,"cacao regeneration","cacao regeneration late",2002,21,1.678686303,24.68,98.10543831,97.60983025,48,46,0.971251414,0.962725896,0.546549509,29.41603101,0,1.8619993,0,0,0.005927712,0.002791237,0.01664005,0.00338958,"regeneration late"
"CR05","PREX",NA,0.51178371,-79.20359237,377,"cacao regeneration","cacao regeneration early",2011,12,1.544394343,19.08,47.00866055,42.84161094,28,26,0.411590463,0.13657452,0.10174733,65.63923036,0,4.790450875,0.10310471,0.015250496,0,0.284014096,0.10158618,0.084656763,"regeneration early"
"CR06","PREX",NA,0.5206616,-79.21083174,397,"cacao regeneration","cacao regeneration late",1990,33,1.896236546,30.18,174.2044502,169.1034098,49,48,0.411259258,0.366151373,0.343482894,28.96937446,0,0.643334078,0.155208943,0.017342591,0.002048067,0.208487335,0.025756147,0.180407902,"regeneration late"
"CR07",NA,NA,0.45898553,-79.20876011,168,"cacao regeneration","cacao regeneration late",2000,23,1.592610422,29.58,108.8982272,104.6958027,21,19,0.553770075,0.571264137,0,114.9120538,0,3.755440367,0.036956712,0,0.030121228,0.06369419,0.023651661,0.052334115,"regeneration late"
