"Plot_ID","taxon","animal_species","plant_species","type","unit","RegTime","Treatment2","method","Treatment3"
"PR26","Lepidoptera","Hypanthidioides_sp","Vitex_orinocensis","pollen_transport","pollen",28,"pasture regeneration late","Canopy","regeneration late"
"PR26","Lepidoptera","Megachile_cf_amparo","Eugenia_crassimarginata","pollen_transport","pollen",28,"pasture regeneration late","Canopy","regeneration late"
"CR18","Lepidoptera","Aclytia_heber_773","Adenostemma_spc","pollen_transport","pollen",10,"cacao regeneration early","Canopy","regeneration early"
"PA58","Lepidoptera","Aclytia_heber_773","Cecropia_garciae","pollen_transport","pollen",0,"active pasture","Understory","regeneration early"
"PR33","Lepidoptera","Aclytia_heber_773","Heliotropiaceae_spc","pollen_transport","pollen",1,"pasture regeneration early","Understory","regeneration early"
"CR18","Lepidoptera","Aclytia_heber_773","Hieronyma_alchorneoides","pollen_transport","pollen",10,"cacao regeneration early","Canopy","regeneration early"
"PA58","Lepidoptera","Aclytia_heber_773","Magnoliopsida_spc","pollen_transport","pollen",0,"active pasture","Understory","regeneration early"
"PR33","Lepidoptera","Aclytia_heber_773","Magnoliopsida_spc","pollen_transport","pollen",1,"pasture regeneration early","Understory","regeneration early"
"OG43","Lepidoptera","Aclytia_heber_773","Tapirira_guianensis","pollen_transport","pollen",55,"old-growth forest","Understory","old-growth forest"
"CA60","Lepidoptera","Aclytia_nr_heber_2017","Cecropia_insignis","pollen_transport","pollen",0,"active cacao","Understory","regeneration early"
"PR33","Lepidoptera","Aclytia_nr_heber_2017","Cecropia_spc","pollen_transport","pollen",1,"pasture regeneration early","Understory","regeneration early"
"PR33","Lepidoptera","Aclytia_nr_heber_2017","Cestrum_schlechtendalii","pollen_transport","pollen",1,"pasture regeneration early","Understory","regeneration early"
"CA60","Lepidoptera","Aclytia_nr_heber_2017","Inga_spc","pollen_transport","pollen",0,"active cacao","Understory","regeneration early"
"CR13","Lepidoptera","Aclytia_nr_heber_2017","Lantana_camara","pollen_transport","pollen",1,"cacao regeneration early","Understory","regeneration early"
"OG49","Lepidoptera","Agylla_cf_zucarina_853","Bidens_pilosa","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"OG50","Lepidoptera","Agylla_cf_zucarina_853","Caryophyllaceae_spc","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"CR18","Lepidoptera","Agylla_cf_zucarina_853","Cecropia_insignis","pollen_transport","pollen",10,"cacao regeneration early","Understory","regeneration early"
"OG37","Lepidoptera","Agylla_cf_zucarina_853","Cestrum_schlechtendalii","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"OG50","Lepidoptera","Agylla_cf_zucarina_853","Cestrum_schlechtendalii","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"PA53","Lepidoptera","Agylla_cf_zucarina_853","Clusia_magnoliiflora","pollen_transport","pollen",0,"active pasture","Understory","regeneration early"
"PA53","Lepidoptera","Agylla_cf_zucarina_853","Clusia_spc","pollen_transport","pollen",0,"active pasture","Understory","regeneration early"
"OG42","Lepidoptera","Agylla_cf_zucarina_853","Guarea_gentryi","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"CR04","Lepidoptera","Agylla_cf_zucarina_853","Heliotropiaceae_spc","pollen_transport","pollen",21,"cacao regeneration late","Canopy","regeneration late"
"OG38","Lepidoptera","Agylla_cf_zucarina_853","Heliotropiaceae_spc","pollen_transport","pollen",55,"old-growth forest","Understory","old-growth forest"
"CR18","Lepidoptera","Agylla_cf_zucarina_853","Hieronyma_alchorneoides","pollen_transport","pollen",10,"cacao regeneration early","Understory","regeneration early"
"OG51","Lepidoptera","Agylla_cf_zucarina_853","Hieronyma_alchorneoides","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"PA53","Lepidoptera","Agylla_cf_zucarina_853","Magnoliopsida_spc","pollen_transport","pollen",0,"active pasture","Understory","regeneration early"
"OG28","Lepidoptera","Agylla_cf_zucarina_853","Magnoliopsida_spc","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"OG49","Lepidoptera","Agylla_cf_zucarina_853","Meliaceae_spc","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"CR18","Lepidoptera","Agylla_cf_zucarina_853","Parkia_multijuga","pollen_transport","pollen",10,"cacao regeneration early","Understory","regeneration early"
"OG51","Lepidoptera","Agylla_cf_zucarina_853","Parkia_multijuga","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"OG51","Lepidoptera","Agylla_cf_zucarina_853","Pouteria_spc","pollen_transport","pollen",55,"old-growth forest","Canopy","old-growth forest"
"CR18","Lepidoptera","Agylla_cf_zucarina_853","Ruagea_glabra","pollen_transport","pollen",10,"cacao regeneration early","Canopy","regeneration early"
