"Plot_ID","taxon","animal_species","plant_species","type","unit","RegTime","Treatment2","method","Treatment3"
"CR04","Primates","Cebus_capucinus","Wettinia_quinaria","Dropped","seed",21,"cacao regeneration late","direct_obs","regeneration late"
"CR05","Rodentia","Notosciurus_granatensis","Theobroma_cacao","Bitten","fruit",12,"cacao regeneration early","direct_obs","regeneration early"
"CR13","Rodentia","Notosciurus_granatensis","Grias_peruviana","Bitten","fruit",1,"cacao regeneration early","direct_obs","regeneration early"
"CR14","Primates","Cebus_capucinus","Turpinia_occidentalis","Swallowed","fruit",38,"cacao regeneration late","direct_obs","regeneration late"
"OG42","Rodentia","Notosciurus_granatensis","Brosimum_utile","Bitten","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG43","Primates","Ateles_fusciceps","Otoba_gracilipes","Swalloweded","seed",55,"old-growth forest","direct_obs","old-growth forest"
"OG43","Primates","Ateles_fusciceps","Osteophloeum_platyspermum","Swalloweded","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG43","Primates","Ateles_fusciceps","Guarea_bullata","Swalloweded","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG45","Primates","Cebus_capucinus","Couepia_subcordata","Swallowed","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG47","Primates","Cebus_capucinus","Protium_ecuadorense","Swallowed","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG49","Primates","Ateles_fusciceps","Pourouma_guianensis","Swallowed","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG50","Primates","Ateles_fusciceps","Hieronyma_alchorneoides","Swallowed","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"OG51","Primates","Alouatta_palliata","Brosimum_utile","Swalloweded","fruit",55,"old-growth forest","direct_obs","old-growth forest"
"PR21","Primates","Cebus_capucinus","Licania_glauca","Swallowed","fruit",36,"pasture regeneration late","direct_obs","regeneration late"
"PR21","Primates","Cebus_capucinus","Wettinia_quinaria","Dropped","seed",36,"pasture regeneration late","direct_obs","regeneration late"
"PR21","Primates","Cebus_capucinus","Turpinia_occidentalis","Swallowed","fruit",36,"pasture regeneration late","direct_obs","regeneration late"
"PR22","Primates","Cebus_capucinus","Miconia_conocuatrecasii","Swallowed","fruit",12,"pasture regeneration early","direct_obs","regeneration early"
"CA59","Didelphimorphia","Didelphis_marsupialis","Theobroma_cacao","Dropped","seed",0,"active cacao","camera_trap","regeneration early"
