"Plot_ID","plant_species","RegTime","Treatment2","Treatment3"
"CR06","Hieronyma_macrocarpa",33,"cacao regeneration late","regeneration late"
"CR06","Ficus_tonduzii",33,"cacao regeneration late","regeneration late"
"CR06","Saurauia_herthae",33,"cacao regeneration late","regeneration late"
"CR06","Saurauia_herthae",33,"cacao regeneration late","regeneration late"
"CR06","Saurauia_herthae",33,"cacao regeneration late","regeneration late"
"CR06","Nectandra_paucinervia",33,"cacao regeneration late","regeneration late"
"CR06","Hieronyma_macrocarpa",33,"cacao regeneration late","regeneration late"
"CR06","Nectandra_paucinervia",33,"cacao regeneration late","regeneration late"
"CR06","Cordia_dwyeri",33,"cacao regeneration late","regeneration late"
"CR06","Cordia_dwyeri",33,"cacao regeneration late","regeneration late"
"CR06","Banara_guianensis",33,"cacao regeneration late","regeneration late"
"PR23","Piper_pequeina",1,"pasture regeneration early","regeneration early"
"PR23","Nectandra_paucinervia",1,"pasture regeneration early","regeneration early"
"PR23","Piper_pequeina",1,"pasture regeneration early","regeneration early"
"PR23","Cecropia_insignis",1,"pasture regeneration early","regeneration early"
"PR23","Piper_pequeina",1,"pasture regeneration early","regeneration early"
"PR23","Piper_pequeina",1,"pasture regeneration early","regeneration early"
"PR23","Cordia_dwyeri",1,"pasture regeneration early","regeneration early"
"PR23","Banara_guianensis",1,"pasture regeneration early","regeneration early"
"PR23","Piper_pequeina",1,"pasture regeneration early","regeneration early"
"PR23","Piper_pequeina",1,"pasture regeneration early","regeneration early"
"PR26","Piper_pequeina",28,"pasture regeneration late","regeneration late"
"PR26","Cordia_dwyeri",28,"pasture regeneration late","regeneration late"
"PR26","Piper_pequeina",28,"pasture regeneration late","regeneration late"
"PR26","Cordia_dwyeri",28,"pasture regeneration late","regeneration late"
"PR26","Pouteria_caimito",28,"pasture regeneration late","regeneration late"
"CR04","Wettinia_quinaria",21,"cacao regeneration late","regeneration late"
"CR04","Saurauia_herthae",21,"cacao regeneration late","regeneration late"
"CR04","Saurauia_herthae",21,"cacao regeneration late","regeneration late"
"CR04","Saurauia_herthae",21,"cacao regeneration late","regeneration late"
"OG38","Cordia_dwyeri",55,"old-growth forest","old-growth forest"
"OG38","Pouteria_caimito",55,"old-growth forest","old-growth forest"
"OG38","Wettinia_quinaria",55,"old-growth forest","old-growth forest"
"OG38","Ficus_pertusa",55,"old-growth forest","old-growth forest"
"OG39","Cecropia_garciae",55,"old-growth forest","old-growth forest"
"OG39","Nectandra_paucinervia",55,"old-growth forest","old-growth forest"
"OG39","Wettinia_quinaria",55,"old-growth forest","old-growth forest"
"OG39","Piper_grande",55,"old-growth forest","old-growth forest"
"OG39","Piper_grande",55,"old-growth forest","old-growth forest"
"PR21","Wettinia_quinaria",36,"pasture regeneration late","regeneration late"
"PR21","Miconia_affinis",36,"pasture regeneration late","regeneration late"
"PR21","Wettinia_quinaria",36,"pasture regeneration late","regeneration late"
"PR21","Nectandra_paucinervia",36,"pasture regeneration late","regeneration late"
"PR21","Miconia_affinis",36,"pasture regeneration late","regeneration late"
"CA62","Ficus_tonduzii",0,"active cacao","regeneration early"
"CA62","Dendropanax_macrophyllum",0,"active cacao","regeneration early"
"CA62","Ficus_tonduzii",0,"active cacao","regeneration early"
"CA62","Cecropia_insignis",0,"active cacao","regeneration early"
"CA62","Ficus_tonduzii",0,"active cacao","regeneration early"
"CA62","Ficus_tonduzii",0,"active cacao","regeneration early"
"CA62","Cordia_dwyeri",0,"active cacao","regeneration early"
"CA62","Dendropanax_macrophyllum",0,"active cacao","regeneration early"
"CR05","Nectandra_paucinervia",12,"cacao regeneration early","regeneration early"
"CR05","Vismia_baccifera",12,"cacao regeneration early","regeneration early"
"CR05","Nectandra_paucinervia",12,"cacao regeneration early","regeneration early"
"CR05","Nectandra_paucinervia",12,"cacao regeneration early","regeneration early"
"CR05","Cordia_dwyeri",12,"cacao regeneration early","regeneration early"
"CR05","Vismia_baccifera",12,"cacao regeneration early","regeneration early"
"CR05","Nectandra_paucinervia",12,"cacao regeneration early","regeneration early"
"CR05","Vismia_baccifera",12,"cacao regeneration early","regeneration early"
"CR05","Annona_papilionella",12,"cacao regeneration early","regeneration early"
"PA57","Ficus_tonduzii",0,"active pasture","regeneration early"
"PA57","Cordia_dwyeri",0,"active pasture","regeneration early"
"PA57","Ficus_tonduzii",0,"active pasture","regeneration early"
"PA57","Annona_papilionella",0,"active pasture","regeneration early"
"PR22","Ficus_tonduzii",12,"pasture regeneration early","regeneration early"
"PR22","Vismia_baccifera",12,"pasture regeneration early","regeneration early"
"PR22","Piper_pequeina",12,"pasture regeneration early","regeneration early"
"PR22","Piper_pequeina",12,"pasture regeneration early","regeneration early"
"PR22","Nectandra_paucinervia",12,"pasture regeneration early","regeneration early"
"PR22","Ficus_brevibracteata",12,"pasture regeneration early","regeneration early"
"PR22","Sapium_laurifolium",12,"pasture regeneration early","regeneration early"
"PR22","Piper_pequeina",12,"pasture regeneration early","regeneration early"
"PR22","Nectandra_paucinervia",12,"pasture regeneration early","regeneration early"
"PR22","Ficus_tonduzii",12,"pasture regeneration early","regeneration early"
"PR22","Annona_papilionella",12,"pasture regeneration early","regeneration early"
