"animal_species","GapeWidth","HWIndex","BodyMass"
"Artibeus_aequatorialis",17.31363636,0.322164761,51.065
"Artibeus_lituratus",18.69090909,0.324809234,66.72222222
"Carollia_brevicaudum",9.896875,0.285270604,18.79487179
"Carollia_castanea",8.861111111,0.289182097,13.71323529
"Carollia_perspicillata",9.87012987,0.287654935,20.26851852
"Chiroderma_gorgasi",12.71538462,0.314707086,16.75
"Chiroderma_salvini",15.25,0.344161303,30.75
"Chiroderma_villosum",14.45714286,0.3013272,26
"Choeroniscus_sp.",8.4,0.390638737,11.5
"Dermanura_ravus",10.33823529,0.29315039,11.95679012
"Dermanura_rosenbergi",10.15901639,0.30356637,11.38021978
"Enchisthenes_hartii",12.38333333,0.333320976,16.95833333
"Gardnerycteris_keenani",11.62857143,0.333799983,23.6
"Glossophaga_soricina",9.36,0.312640324,9.9
"Glyphonycteris_daviesi",7.2,0.262386106,55
"Glyphonycteris_sylvestris",9.8,0.271070824,10
"Lichonycteris_obscura",8.04,0.363269113,6.52
"Lonchophylla_chocoana",10.7,0.323302766,20.83333333
"Lonchophylla_concava",8.7125,0.343179921,8.785714286
"Lonchophylla_robusta",10.23333333,0.322803868,16.33333333
"Lonchorhina_aurita",9,0.311070752,17.5
"Mesophylla_macconnelli",10.51666667,0.294048207,8
"Micronycteris_giovanniae",5.2,0.22844079,10
"Micronycteris_hirsuta",11.90909091,0.235340279,16.05555556
"Micronycteris_megalotis",8.255555556,0.225679501,6.5625
"Phylloderma_stenops",10,0.320958051,57
"Phyllostomus_discolor",16.6,0.330456839,43
"Phyllostomus_elongatus",15.25,0.341143901,53
"Platyrrhinus_dorsalis",16.32068966,0.318758203,33.48148148
"Platyrrhinus_helleri",11.975,0.342465695,16.625
"Platyrrhinus_matapalensis",12.525,0.314520315,16.5
"Rhinophylla_alethina",9.222222222,0.318663514,13.60810811
"Sturnira_luisi",12.9516129,0.318985797,23.24242424
"Sturnira_perla",14.93333333,0.311248874,21.5
"Tonatia_bakeri",14.02727273,0.252714729,33.5
"Trachops_cirrhosus",12.43333333,0.239542662,30.5
"Trinycteris_nicefori",9.65,0.260900771,10.75
"Uroderma_convexum",12.73529412,0.316554371,17.63888889
"Vampyressa_thyone",10.2,0.311047999,8.375
"Vampyriscus_nymphaea",11.86086957,0.307517529,14.5
"Vampyrodes_major",18.2,0.327204696,42.625
"Vampyrum_spectrum",23.2,0.200383046,160
