"animal_species","itDistance","prLength","wingLength","Genus"
"Aglae_caerulea",4.29,16.02,19.57,"Aglae"
"Apis_mellifera",2.75666666666667,5.00666666666667,8.31,"Apis"
"Augochlora_sp11",0.84475,1.345375,3.398,"Augochlora"
"Augochlora_sp15",1.281,2.034,4.8575,"Augochlora"
"Augochlora_sp20",1.68,4.94,5.55,"Augochlora"
"Augochlora_sp4",1.086,1.823,3.912,"Augochlora"
"Augochlora_sp8",1.171,1.509,4.547,"Augochlora"
"Augochlora_sp9_/_(Oxystoglossella)",1.28166666666667,2.617,4.627,"Augochlora"
"Augochlorella_cf_ephyra",1.345,3.635,4.875,"Augochlorella"
"Augochlorella_cf_tredecim",1.02,2.19350793650794,3.66,"Augochlorella"
"Augochlorella_sp1",0.928,1.43166666666667,3.52566666666667,"Augochlorella"
"Augochlorella_sp2",0.857142857142857,1.51385714285714,3.26671428571429,"Augochlorella"
"Augochloropsis_cf_sp15",1.48,1.89616931216931,5.96,"Augochloropsis"
"Augochloropsis_sp2",1.46877777777778,1.75022222222222,5.00611111111111,"Augochloropsis"
"Augochloropsis_sp3",1.48166666666667,1.973,4.961,"Augochloropsis"
"Augochloropsis_sp5",1.65642857142857,1.96528571428571,5.44985714285714,"Augochloropsis"
"Centris_dichrootricha",3.86,7.03,10.18,"Centris"
"Cephalotrigona_cf_zexmeniae",2.38,NA,6.98,"Cephalotrigona"
"Ceratalictus_sp",1.21,2.09,4.25,"Ceratalictus"
"Ceratina_(Calloceratina)_sp",2.72,5.02,7.83,"Ceratina"
"Ceratina_(Crewella)_sp1",2.25,9.59,6.18,"Ceratina"
"Ceratina_(Crewella)_sp2",1.49333333333333,3.50666666666667,4.87,"Ceratina"
"Corynura_(Corynura)_sp1",0.87,1.24,3.35,"Corynura"
"Corynura_(Corynura)_sp2",0.9255,1.087125,3.21225,"Corynura"
"Dolichotrigona_schulthessi",0.9311,1.1863,2.9422,"Dolichotrigona"
"Eufriesea_chrysopyga",4.70384615384615,9.75769230769231,12.2,"Eufriesea"
"Eufriesea_flaviventris",4.57,12.15,11.34,"Eufriesea"
"Eufriesea_lucida",4.64666666666667,11.8866666666667,12.26,"Eufriesea"
"Eufriesea_lucifera",5,11.4,14.3,"Eufriesea"
"Eufriesea_pulchra",5.17,9.215,13.68,"Eufriesea"
"Eufriesea_purpurata",4.28,5.3,11.35,"Eufriesea"
"Eufriesea_rufocaudata",4.84,7.65,12.34,"Eufriesea"
"Euglossa_allosticta",3.2046511627907,18.6695348837209,8.99232558139535,"Euglossa"
"Euglossa_asarophora",3.85055555555556,31.2144444444444,10.8661111111111,"Euglossa"
"Euglossa_bursigera",2.95666666666667,12.42,8.38333333333333,"Euglossa"
"Euglossa_championi",3.41714285714286,9.58181818181818,9.52642857142857,"Euglossa"
"Euglossa_chlorina",3.07285714285714,9.992,8.07428571428571,"Euglossa"
"Euglossa_cognata",3.52461538461538,10.675,9.47,"Euglossa"
"Euglossa_cordata",3.184,9.848,8.706,"Euglossa"
"Euglossa_cybelia",3.39,6.7,9.05,"Euglossa"
"Euglossa_deceptrix_group",3.30658536585366,8.39142857142857,8.39634146341463,"Euglossa"
"Euglossa_dodsoni",3.03571428571429,9.5,7.61428571428571,"Euglossa"
"Euglossa_dressleri",2.88,13.1214690482178,8.7,"Euglossa"
"Euglossa_flammea-chalybeata_gr",3.50906976744186,22.9302380952381,10.6044186046512,"Euglossa"
"Euglossa_gibossa",3.01555555555556,10.0125,7.90222222222222,"Euglossa"
"Euglossa_gorgonensis",2.73888888888889,14.4821428571429,7.71166666666667,"Euglossa"
"Euglossa_hansoni",3.26451612903226,7.88103448275862,7.73322580645161,"Euglossa"
"Euglossa_heterosticta",2.9884,8.5252,7.39333333333333,"Euglossa"
"Euglossa_ignita",3.38125,19.19125,10.28,"Euglossa"
"Euglossa_igniventris-dissimula_gr",3.12212121212121,8.85333333333333,7.99090909090909,"Euglossa"
"Euglossa_imperialis",3.79,22.645,10.725,"Euglossa"
"Euglossa_laevicincta",3.26666666666667,21.2669230769231,10.1556666666667,"Euglossa"
"Euglossa_mixta",3.2635,7.96666666666667,7.91,"Euglossa"
"Euglossa_nigropilosa",2.8,12.7,9.1,"Euglossa"
"Euglossa_nr_asarophora",3.74,29.665,12.01,"Euglossa"
"Euglossa_nr_crassipunctata",2.7,5.8,6.6,"Euglossa"
"Euglossa_nr_gibossa",3,8,7.2,"Euglossa"
"Euglossa_retroviridis",3.53333333333333,7.46666666666667,8.16666666666667,"Euglossa"
"Euglossa_stilbonata",3.4,14.6,8.3,"Euglossa"
"Euglossa_townsendi",2.805,8.53666666666667,7.67722222222222,"Euglossa"
"Euglossa_tridentata",3.32357142857143,10.9888888888889,8.64642857142857,"Euglossa"
"Euglossa_trinotata",3.03444444444444,18.295,9.07705882352941,"Euglossa"
"Euglossa_turbinifex",2.93666666666667,15.8772727272727,8.80541666666667,"Euglossa"
"Euglossa_variabilis",2.98470588235294,10.691,7.92529411764706,"Euglossa"
"Euglossa_villosiventris",3.36,6.52,8.78,"Euglossa"
"Eulaema_bombiformis",6.94333333333333,23.05,22.4927777777778,"Eulaema"
"Eulaema_chocoana",5.93,19.69,20.03,"Eulaema"
"Eulaema_cingulata",5.2825,19.5333333333333,16.641875,"Eulaema"
"Eulaema_flavescens",5.83333333333333,16.3333333333333,19.6333333333333,"Eulaema"
"Eulaema_leucopyga",5.9,32.1,20.35,"Eulaema"
"Eulaema_meriana",6.16111111111111,22.4972222222222,21.1055555555556,"Eulaema"
"Eulaema_sororia",6.04,31.91,21.11,"Eulaema"
"Exaerete_smaragdina",4.36111111111111,19.9388888888889,17.1611111111111,"Exaerete"
"Hylaeus_sp",1.02,NA,3.73,"Hylaeus"
"Hypanthidioides_sp",1.75,5.09,4.97,"Hypanthidioides"
"Megachile_cf_amparo",3.84,5.74,8.93,"Megachile"
"Megachile_sp1",2.92,5.26,7.59,"Megachile"
"Megachile_sp2",2.99,4.13,7.21,"Megachile"
"Megalopta_amoena",2.285,6.23833333333333,8.44833333333333,"Megalopta"
"Megalopta_genalis_gr",2.75965517241379,6.65730769230769,10.8934482758621,"Megalopta"
"Melipona_(Melikeirra)_sp",3.31,4.91266666666667,8.47,"Melipona"
"Melipona_(Michmelia)_solani",2.83683333333333,4.91266666666667,7.95666666666667,"Melipona"
"Nannotrigona_mellaria",1.244,1.92025,4.18675,"Nannotrigona"
"Nannotrigona_tristella",1.42327272727273,1.64881818181818,5.34872727272727,"Nannotrigona"
"Neocorynura_sp1",1.73,3.845,6.32,"Neocorynura"
"Neocorynura_sp2",1.62,4.59,7.71,"Neocorynura"
"Neocorynura_sp3",1.43,3.1,5.52,"Neocorynura"
"Nogueirapis_mirandula",1.1415,2.0955,4.5552,"Nogueirapis"
"Osiris_panamensis",1.45,3.74,6.14,"Osiris"
"Oxytrigona_isthmina",1.40828571428571,1.875,4.80857142857143,"Oxytrigona"
"Oxytrigona_obscura",1.21,1.875,4.08,"Oxytrigona"
"Paratetrapedia_chocoensis",1.72,3.245,6.145,"Paratetrapedia"
"Paratetrapedia_sp",1.71666666666667,4.545,6.585,"Paratetrapedia"
"Paratrigona_lophocoryphe",1.27725,2.12825,3.89375,"Paratrigona"
"Paratrigona_opaca",1.263,1.451,3.797,"Paratrigona"
"Partamona_aequatoriana",1.594,3.1582,5.7079,"Partamona"
"Partamona_nr_peckolti",1.5495,3.5769,5.5569,"Partamona"
"Partamona_sp",1.7646,3.351,7.0068,"Partamona"
"Plebeia_(Nanoplebeia)_cf_asthenes",0.932,1.095,2.55,"Plebeia"
"Plebeia_(Nanoplebeia)_minima",0.918,0.4935,2.9315,"Plebeia"
"Plebeia_(Nanoplebeia)_sp",0.994,1.334,3.201,"Plebeia"
"Plebeia_frontalis",1.1897,1.7072,3.8122,"Plebeia"
"Plebeia_sp",1.14267741935484,1.45559375,3.98815625,"Plebeia"
"Ptiloglossa_costaricana",5.38,4.4,11.72,"Ptiloglossa"
"Ptiloglossa_trichrootricha",4.65,5.21333333333333,12.0733333333333,"Ptiloglossa"
"Ptilotrigona_occidentalis",1.67833333333333,2.485,9.478,"Ptilotrigona"
"Scaptotrigona_(Gymnotrigona)_sp",1.8927,3.2641,6.3578,"Scaptotrigona"
"Scaptotrigona_(Scaptotrigona)_sp",1.6685,3.144,5.7331,"Scaptotrigona"
"Scaptotrigona_luteipennis",1.896,3.3665,6.3649,"Scaptotrigona"
"Scaptotrigona_postica_'group_b'",1.59068421052632,2.75831578947368,5.52647368421053,"Scaptotrigona"
"Scaura_argyrea",1.2122,1.3005,4.1897,"Scaura"
"Scaura_longula",1.273,1.4115,5.0055,"Scaura"
"Temnosoma_sp1",1.6,4.38,6.34,"Temnosoma"
"Tetragona_perangulata",1.2997,1.4779,5.745,"Tetragona"
"Tetragona_ziegleri",1.1628,1.2966,5.3001,"Tetragona"
"Tetragonisca_angustula",0.924545454545455,1.4635,3.61109090909091,"Tetragonisca"
"Tetragonisca_buchwaldi",1.018,1.498,4.964,"Tetragonisca"
"Thygater_cf_analis",2.36,7.28,7.95,"Thygater"
"Trigona_(Necrotrigona)_hypogea",1.48,1.85,5.94,"Trigona"
"Trigona_(Trigona)_sp",1.52,2.84,7.17,"Trigona"
"Trigona_cilipes",1.355,2.465,5.346,"Trigona"
"Trigona_corvina",1.518,2.64,6.684,"Trigona"
"Trigona_ferricauda",1.3628,2.7183,5.9552,"Trigona"
"Trigona_fulviventris",1.42766666666667,3.35411111111111,6.99255555555556,"Trigona"
"Trigona_fuscipennis",1.4145,1.7105,5.6414,"Trigona"
"Trigona_guianae",1.48807142857143,3.06935714285714,6.78828571428571,"Trigona"
"Trigona_muzoensis",1.3225,2.50537814546565,5.465,"Trigona"
"Trigona_nigerrima",1.6565,2.4584375,7.8204375,"Trigona"
"Trigona_recursa",1.10484615384615,1.52315384615385,3.95546153846154,"Trigona"
"Trigona_silvestriana",2.0712,2.9303,8.7619,"Trigona"
"Trigonisca_atomaria",0.750294117647059,0.939058823529412,2.44411764705882,"Trigonisca"
"Trigonisca_cf_buyssoni",0.8201,1.0216,2.4967,"Trigonisca"
"Trigonisca_cf_pediculana",0.7862,1.0528,2.5069,"Trigonisca"
"Xylocopa_(Neoxylocopa)_sp",5.5,6.8,16.8,"Xylocopa"
"Xylocopa_frontalis",8.04,9.64,22.44,"Xylocopa"
"Euglossa_deceptrix",3.20546904231126,13.1214690482178,8.7416254832823,"Euglossa"
"Eulaema_sp-female",6.01289682539683,23.5876984126984,20.1947916666667,"Eulaema"
"Euglossa_despecta",3.20546904231126,13.1214690482178,8.7416254832823,"Euglossa"
"Scaptotrigona_postica_group_b",1.76197105263158,3.13322894736842,5.99556842105263,"Scaptotrigona"
"Cephalotrigona_sp",2.38,NA,6.98,"Cephalotrigona"
