"animal_species","prLength","bodyLength","wingLength","Genus"
"Abrochia_sp_1346",NA,13.4733333333333,13.3,"Abrochia"
"Aclytia_heber_773",6.99,11.605,14.115,"Aclytia"
"Aclytia_nr_heber_2017",6.75,12.2066666666667,15.3666666666667,"Aclytia"
"Adhemarius_daphne_101",31.01,38.64,47.72,"Adhemarius"
"Agaraea_nr_minuta_910",1,6.68,9.45,"Agaraea"
"Agaraea_semivitrea_909",1,10.98,14.37,"Agaraea"
"Agrius_cingulata_133",108.07,45.5,44.49,"Agrius"
"Agylla_cf_zucarina_853",8.1,11.5266666666667,14.8433333333333,"Agylla"
"Agylla_nr_argentifera_1154",10.09,14.825,20.3716666666667,"Agylla"
"Agylla_nr_nivea_347",12.36,16.956,21.57,"Agylla"
"Agylla_sp_1156",4.43,7.56,9.85,"Agylla"
"Agylla_sp_1185",9.995,15.065,18.96,"Agylla"
"Agylla_sp_854",6.85333333333333,9.32,13.7025,"Agylla"
"Agylla_sp_855",6.0775,10.46,12.92,"Agylla"
"Agylla_sp_858",9.3,12.5,17.9666666666667,"Agylla"
"Agylla_sp_860",7.92,7.92,12.44,"Agylla"
"Agylla_zucarina_gr_856",8.16,12.845,17.4225,"Agylla"
"Amastus_episcostosia_1229",27.43,35.23,44.395,"Amastus"
"Amaxia_cf_lepida_913",6.945,15.22,17.925,"Amaxia"
"Amaxia_pandama_912",10.315,15.39,18.67,"Amaxia"
"Amaxia_pardalis_1285",7.02,15.95,16.31,"Amaxia"
"Amaxia_sp_1354",8.31,10.38,7.455,"Amaxia"
"Ammalo_helops_gr_1410",NA,34.68,33.65,"Ammalo"
"Amphelarctia_priscilla_gr_1181",7.12,14.245,16.095,"Amphelarctia"
"Antona_sp_852",4.265,14.52,17.57,"Antona"
"Aptilosia_crocea_gr_866",8.47333333333333,10.4133333333333,12.59,"Aptilosia"
"Apyre_separata_911",NA,15.995,8.07,"Apyre"
"Araeomolis_cf_rhodographa_1079",8.326,12.27,14.42,"Araeomolis"
"Arctiarpia_melanopasta_916",9.22,15.4533333333333,19.0433333333333,"Arctiarpia"
"Areva_nr_trigemmis_868",4.68,10.5375,12.45,"Areva"
"Astralarctia_canalis_1051",NA,13.23,15.68,"Astralarctia"
"Atyphopsis_nr_modesta_772",6.23,10.685,12.74,"Atyphopsis"
"Balbura_intervenata_1227",8.38,11.4,14.06,"Balbura"
"Balburdia_cf_dorsigiana_894",8.38,9.85,11.985,"Balburdia"
