"animal_species","BodyMass","GapeWidth","Genus"
"Alouatta_palliata",6120,60.43375,"Alouatta"
"Ateles_fusciceps",9050,55.9333333333333,"Ateles"
"Cebus_capucinus",2984.44,NA,"Cebus"
"Cuniculus_paca",8172.55,NA,"Cuniculus"
"Dasyprocta_punctata",2674.98,37.215,"Dasyprocta"
"Didelphis_marsupialis",1091.16,31.816,"Didelphis"
"Eira_barbara",3910.03,44.32,"Eira"
"Heteromys_australis",267.5,12.1716666666667,"Heteromys"
"Hoplomys_gymnurus",240,23.0775,"Hoplomys"
"Marmosa_isthmica",56.67,15.16,"Marmosa"
"Notosciurus_granatensis",250,33.4,"Notosciurus"
"Proechimys_semispinosus",360.5,26.8021428571429,"Proechimys"
"Tayassu_pecari",32233.69,91.9633333333333,"Tayassu"
