"plant_species","FruitWidth","Height","CropMass","CorLength","Genus"
"Theobroma_cacao",79.12,4.88203342618384,3469.93436532508,0.100001,"Theobroma"
"Manihot_esculenta",15.6785714285714,5,29.7214285714286,4.400001,"Manihot"
"Lantana_sp.",3.44666666666667,4.3,86.592,8.500001,"Lantana"
"Cecropia_insignis",11.096875,25.25,226.858125,1e-06,"Cecropia"
"Cecropia_hispidissima",5.63045454545454,18.3714285714286,127.009993506494,1e-06,"Cecropia"
"Artocarpus_heterophyllus",212,5,NA,NA,"Artocarpus"
"A-CR1301",9.6155,1,1157.1,NA,"A-CR1301"
"Psidium_guajava",48.5833333333333,6.37777777777778,870.833333333333,1e-06,"Psidium"
"Chrysophyllum_cainito",44.5,13,1620.54,NA,"Chrysophyllum"
"Persea_americana",64.2266666666667,14,988,NA,"Persea"
"Borojoa_sp.",NA,8.5,NA,NA,"Borojoa"
"A-CA6401",NA,16,NA,NA,"A-CA6401"
"Cecropia_garciae",8.36366477272727,22.1538461538462,176.934059253247,1e-06,"Cecropia"
"Miconia_conocuatrecasii",4.89990099009901,9.12232558139535,103.648822682268,1e-06,"Miconia"
"Miconia_conocuatrecasii",4.89990099009901,9.12232558139535,103.648822682268,5.700001,"Miconia"
"A-CR0101",15.4775,2,131.25,NA,"A-CR0101"
"Piper_grande",12.5333333333333,2.25,151.883333333333,1e-06,"Piper"
"Palicourea_timbiquensis",6.509,6.94615384615385,112.725,22.400001,"Palicourea"
"Vismia_baccifera",9.48320754716981,11.3203703703704,1704.24223512337,1e-06,"Vismia"
"A-CR1601",2.201,1.25,49,NA,"A-CR1601"
"A-CR1303",5.544,6.25,36.9,NA,"A-CR1303"
"Banara_guianensis",9.105375,13.7694214876033,1426.78735294118,1e-06,"Banara"
"Miconia_centronioides",6.03566666666667,3.41818181818182,135.952363636364,2.65010875862069,"Miconia"
"Trema_micrantha",16.2320833333333,17.4545454545455,309.303977272727,NA,"Trema"
"Maytenus_macrocarpa",13.4765,26.5,4162.45,NA,"Maytenus"
"Miconia_multiplicata",5.09338983050847,9,145.727845061114,2.65010875862069,"Miconia"
"Miconia_sp3",4.74,2.18181818181818,16.0125,2.65010875862069,"Miconia"
"Wettinia_quinaria",18.1231666666667,14.1332859174964,3812.96461538462,1e-06,"Wettinia"
"Pentagonia_macrophylla",6.403,10.1428571428571,41.16,NA,"Pentagonia"
"Damburneya_purpurea",10.879,25,856.7,NA,"Damburneya"
"Coussarea_latifolia",31.196,13,204.75,NA,"Coussarea"
"Piper_pequeina",9.20320987654321,2.2962962962963,251.974622770919,1e-06,"Piper"
"A-CR0501",13.391,2,107.028,NA,"A-CR0501"
"Exarata_chocoensis",19.948,17.7714285714286,1189.332,38.300001,"Exarata"
"A-CR0601",11.53,31,377.6,NA,"A-CR0601"
"Turpinia_occidentalis",9.43769230769231,16.2917525773196,942.711538461538,3.100001,"Turpinia"
"Pleuranthodendron_lindenii",NA,19,NA,NA,"Pleuranthodendron"
"Otoba_novogranatensis",25.3966666666667,15.2858895705521,6567.92,1e-06,"Otoba"
"Coffea_arabica",11.747,5.18333333333333,470,1e-06,"Coffea"
"Miconia_'grande'",8.97742857142857,8.61538461538461,567.307692307692,2.65010875862069,"Miconia"
"Palicourea_paratinctoria",5.1625,6.07692307692308,80.6224615384616,12.550001,"Palicourea"
"Ficus_brevibracteata",10.0915,19.8333333333333,157.185,NA,"Ficus"
"A-PR2204",6.91,0.545454545454545,26.6606060606061,NA,"A-PR2204"
"Bactris_setulosa",19.349696969697,14.9,1137.89393939394,NA,"Bactris"
"Palicourea_guianensis",5.61983333333333,11.6,136.362487179487,14.000001,"Palicourea"
"A-CR1111",5.3905,1,19.738,NA,"A-CR1111"
"Virola_elongata",29.8975,28,4240.25,1.900001,"Virola"
"A-PR3201",5.16530612244898,4.88888888888889,34.4440816326531,NA,"A-PR3201"
"A-CR1202",4.918,1,2.4,NA,"A-CR1202"
"Guatteria_pittieri",4.6075,13.705,258.3,1e-06,"Guatteria"
"A-CR1302",6.6675,2,27.625,NA,"A-CR1302"
"Grias_peruviana",58.865,10.1459459459459,5967,1e-06,"Grias"
"Margaritaria_nobilis",9.699,21,246,NA,"Margaritaria"
"Palicourea_pseudaxillaris",5.188,6.53333333333333,215.74,6.700001,"Palicourea"
"Miconia_sp5",4.434,1.16666666666667,4.91733333333333,2.65010875862069,"Miconia"
"A-CR1803",7.169,4,988,NA,"A-CR1803"
"Socratea_exorrhiza",28.186,26.5,131.325,NA,"Socratea"
"Eschweilera_decolorans",25.96875,56,1976.25,1e-06,"Eschweilera"
"Sterculia_corrugata",18.82,46,5640,NA,"Sterculia"
"Nectandra_guadaripo",8.372,48,696,NA,"Nectandra"
"Trichilia_surinamensis",10.678,15.5625,851.4,1e-06,"Trichilia"
"A-OG3801",6.508,24,583.2,NA,"A-OG3801"
"Iriartea_deltoidea",11.8963414634146,16.807650273224,5035.9725,1e-06,"Iriartea"
"Ficus_pertusa",10.586,20,146.16,NA,"Ficus"
"Licania_glauca",11.67,26,1535.55,NA,"Licania"
"Miconia_cooperi",2.2905,8.15,1.52166666666667,2.400001,"Miconia"
"Carapa_guianensis",94.17,11.9208333333333,4543.7,4.000001,"Carapa"
"Hortia_brasiliana",24.985,20.1636363636364,1197,1.000001,"Hortia"
"Virola_pavonis",20.1446153846154,23.7777777777778,2170.38461538462,1.900001,"Virola"
"A-PR2101",21.9005,1,924.12,NA,"A-PR2101"
"Matisia_longipes",19.2836363636364,23.6,1152.8,21.150001,"Matisia"
