plant_species,FruitWidth,Height,Source
Aegiphila_alba,,25.5,Molina Gruezo Joao 2020 Alejandro Thesis
Beilschmiedia_costaricensis,,8.9,Escobar et al. 2025
Bunchosia_nitida,,,
Byrsonima_ligustrifolia,,30.2,Escobar et al. 2025
Casearia_arborea,5.5,18,Skutch (1980) https://doi.org/10.2307/1366782
Cecropia_membranacea,,,
Citronella_incarum,,10.7,Escobar et al. 2025
Cordia_alliodora,4,30,"Cordia alliodora: a promising tree for tropical agroforestry., 0-85074-117-3"
Coussapoa_contorta,,20,Escobar et al. 2025
Dacryodes_cupularis,,14.625,Escobar et al. 2025
Dendropanax_oblonga,,10.2,Escobar et al. 2025
Discophora_guianensis,,9.2,Escobar et al. 2025
Faramea_langlassei,,12.5,Escobar et al. 2025
Fusispermum_minutiflorum,,11.525,Escobar et al. 2025
Genipa_americana,75,15,"Costa y Bosque Plantas del Norte del Darién, Hoyos-Gómez, Idarraga, Betancur and Upegü 2013"
Hieronyma_macrocarpa,25,17.5,"Castañeda, C. A. P., Casas, K. V., Martínez, M. F. A., & Hernández, M. Á. PROPIEDADES MECÁNICAS DE LA MADERA DE CHUGUACA (Hyeronima macrocarpa Schltr.) PARA LA IDENTIFICACIÓN DE SU USO POTENCIAL."
Inga_oerstediana,,12.23333333,Escobar et al. 2025
Lozania_klugii,,8.3,Escobar et al. 2025
Miconia_dorsiloba,,8.75,Escobar et al. 2025
Minquartia_guianensis,,28.45,Escobar et al. 2025
Naucleopsis_chiguila,,13.08,Escobar et al. 2025
Nectandra_paucinervia,,9,Coe-Teixeira 1975
Neosprucea_pedicellata,,13.325,Escobar et al. 2025
Piper_longifolium,5,5.4,Kumar (2011) DOI: 10.1016/S2005-2901(11)60020-4
Piper_multiplinervium,,,
Piper_ottoniifolium,,,
Piptocoma_discolor,4,30,"González, J. E., Papue, A., González, V., Borja, A., & Oliva, D. Crecimiento y conservación de Piptocoma discolor (Pigüe) en la Provincia de Pastaza, Ecuador."
Pouteria_caimito,121,33.33,"Arif 2023, https://doi.org/10.1016/j.scienta.2022.111795"
Pouteria_gigantea,,12.7,Escobar et al. 2025
Pouteria_leptopedicellata,,31.9,Escobar et al. 2025
Saurauia_herthae,,7.1,Escobar et al. 2025
Solanum_jamaicense,1.75,7.5,"Costa y Bosque Plantas del Norte del Darién, Hoyos-Gómez, Idarraga, Betancur and Upegü 2013"
Trema_integerrima,,34.5,Escobar et al. 2025
