sp_ageF,sp_ageF_b,toughness_N,thickness_mm,SLA,LDMC,coment
Aegiphila_alba_young_CR,Aegiphila_sp_young_CR,1.222777778,0.174416667,30.31779438,166.7690055,
Alchornea_sp_old_CR,Alchorneopsis_floribunda_old_CR,2.885,0.123,34.79630579,241.4736165,
Alchornea_sp_young_CR,Alchorneopsis_floribunda_young_CR,2.548472222,0.131145833,33.56274704,246.329599,
Azufre_OG_&_Brosimum_sp2_OG,Brosimum_guianense_OG,3.049222223,0.173304167,26.40697372,329.2053681,
Azufre_old_CR,Brosimum_guianense_old_CR,3.133888889,0.216083333,24.10147179,253.6700525,
Bahuinia_pichinchensis_young_CR,Bahuinia_pichinchensis_young_CR,1.715833333,0.116125,34.14492402,306.8476242,
Bahuinia_sp2_young_PR,Bahuinia_sp2_young_PR,1.29,0.1145,49.36142035,358.015744,
Banara_guianensis_old_CR,Banara_guianensis_old_CR,1.396666667,0.127,32.50624658,182.2953114,
Banara_guianensis_young_CR,Banara_guianensis_young_CR,2.158333333,0.10975,34.18067531,218.7964269,
Banara_riparia_young_CR,cf._Banara_young_CR,1.974444444,0.158291667,32.73084064,232.4876056,
Banara_riparia_young_PR,cf._Banara_young_PR,1.867407407,0.144915278,33.31944527,251.1535902,
Brosimum_sp2_young_CR,Brosimum_guianense_young_CR,2.137777778,0.107666667,29.18625055,307.4548297,
Brosimum_utile_AC,Brosimum_sp1_AC,2.535240741,0.145252778,24.75642005,303.7580325,
Brosimum_utile_OG,Brosimum_sp1_OG,2.471444444,0.165583333,23.7878712,319.8410824,
Brosimum_utile_old_CR,Brosimum_sp1_old_CR,2.9325,0.177875,27.95813149,271.9332746,
Brosimum_utile_old_PR,Brosimum_sp1_old_PR,2.5175,0.1078125,26.79606823,300.5742167,
Brosimum_utile_young_CR,Brosimum_sp1_young_CR,2.325333333,0.1595,21.50491146,322.2913029,
Carapa_sp1_OG,Carapa_megistocarpa_OG,7.806666667,0.18175,15.1863579,447.1028276,
Cecropia_morada_AC,Cecropia_morada_AC,1.826111111,0.181083333,20.43117168,383.944072,
Cecropia_obtusifolia_AP,Cecropia_sp_AP,1.868888889,0.172666667,32.54172712,224.3597747,
Cecropia_obtusifolia_young_CR,Cecropia_sp_young_CR,1.450833333,0.127,43.01861999,191.9332661,
Cecropia_sp_OG,Cecropia_sp_OG,1.19,0.068666667,47.21002305,205.9962777,
Cojoba_arborea_young_CR,Cojoba_arborea_young_CR,0.863388889,0.086908333,45.61497008,327.3348964,
Coussapoa_villosa_old_CR,Coussapoa_villosa_old_CR,2.076,0.1018,26.01693102,278.2712681,
Croton_sp_old_PR,Croton_lechleri_old_PR,0.822407407,0.125666667,62.22441806,144.2239082,
Doble_hoja_long_leaves_OG,Macrolobium_ischnocalyx,3.628888889,0.162291667,22.66564032,259.6954203,
Doble_hoja_tree_OG,Doble_hoja_tree_OG,3.486,0.1336,19.81883656,459.6279301,
Doble_hoja_tree_old_CR,Doble_hoja_tree_old_CR,3.522777778,0.1425,23.01012982,339.2714312,
Eugenia_sp._Guayabillo_OG,Eugenia_sp._Guayabillo_OG,2.74,0.170083333,21.63561253,305.6965669,
Garcinia_madruno_OG,Garcinia_madruno_OG,3.9275,0.2395,21.63843212,263.3076223,
Havea_guianensis_old_PR,Castilla_elastica_old_PR,1.28412037,0.158152778,51.30534217,239.8892836,
Henriettea_lawrancei_old_CR,Henriettea_lawrancei_old_CR,1.866666667,0.2461,19.84297591,247.7514529,
Huberodendron_sp1_OG,Huberodendron_sp1_OG,3.341111111,0.109333333,26.16044448,243.9756192,
Huberodendron_sp2_OG,Huberodendron_sp2_OG,1.787222222,0.106833333,44.6474537,194.9246527,
Huevo_de_mono_young_CR,Huevo_de_mono_young_CR,5.988888889,0.14,21.34216776,249.5127244,
Inga_acuminata_OG,Inga_acuminata_OG,1.403333333,0.08175,41.81121953,322.8263215,
Inga_acuminata_old_CR,Inga_acuminata_old_CR,1.831666667,0.101083333,28.976364,373.2925471,
Inga_acuminata_old_PR,Inga_acuminata_old_PR,2.255,0.12025,27.45175231,346.5111353,
Inga_hoja_blanca_AP,Inga_hoja_blanca_AP,3.408888889,0.163916667,18.91692944,375.5250262,
Inga_hoja_blanca_OG,Inga_hoja_blanca_OG,2.093333333,0.122166667,35.93465784,209.1179633,
Inga_hoja_blanca_old_CR,Inga_hoja_blanca_old_CR,1.928425926,0.096041667,37.97835077,361.7785717,
Inga_hoja_blanca_old_PR,Inga_hoja_blanca_old_PR,1.97625,0.14725,35.60911595,298.191432,
Inga_hoja_blanca_young_CR,Inga_hoja_blanca_young_CR,2.163063492,0.119040476,27.9480865,339.1368543,
Inga_hoja_silver_AC,Inga_hoja_silver_AC,3.472666667,0.1737,17.21825009,391.037155,
Inga_many_leaflets_OG,Inga_nobilis_OG,2.9,0.18475,27.12828369,323.3809811,
Inga_many_leaflets_old_CR,Inga_nobilis_old_CR,3.087722222,0.156925,19.76377772,380.7649872,
Inga_many_leaflets_old_PR,Inga_nobilis_old_PR,2.629977778,0.161593333,27.51495689,363.25932,
Inga_many_leaflets_young_CR,Inga_nobilis_young_CR,3.4825,0.141125,24.22312655,343.3356844,
Inga_oerstediana_OG,Inga_oerstediana_OG,2.136666667,0.133666667,25.56797513,337.2188051,
Inga_similar_sp1_young_CR,Inga_similar_sp1_young_CR,2.006777778,0.107116667,39.73777854,339.5016801,
Inga_sp1_OG,Inga_carinata_OG,2.149155556,0.14016,29.86268507,283.1637528,
Inga_sp1_old_CR,Inga_carinata_old_CR,2.412708333,0.138614583,25.01125042,338.9647065,
Inga_sp1_old_PR,Inga_carinata_old_PR,2.289074074,0.132916667,26.14404948,330.7760658,
Inga_sp10_old_CR,Inga_chocoensis_old_CR,2.753333333,0.124875,10.52304657,375.9126051,
Inga_sp10_old_PR,Inga_chocoensis_old_PR,1.953117284,0.102582407,39.14674543,307.0804332,
