Plot_ID,Latitude,Longitude,Reassembly,Elevation,Treatment,Treatment2,Regeneration_year,elev_30m_dem,slope,aspect,solar_annual,TWI,TPI,TRI,conv.ind,Forest_1km,Forest_500m,Forest_100m,Forest_1km_JRC_TMF,Distance_forest,Distance_edge,Patch_ha,Cacao_1km,Cacao_Reg1_1km,Cacao_Reg2_1km,Pasture_1km,Pasture_Reg1_1km,Pasture_Reg2_1km,Oil_Palm_1km
CA180,0.54739997,-79.16572002,0,246,active cacao,active cacao,NA,236.076889,5.222620734,217.4620443,1816837.375,4.100858688,-0.956340029,2.725627097,-36.3161654,0.379348322,0.291440087,0,0.706880717,165.8895066,0,219.7857578,0,0,0,0.428157577,0.065776707,0.126892657,0
CA181,0.54063804,-79.14442898,0,274,active cacao,active cacao,NA,313.9109497,13.79051912,236.8901798,1794053.625,1.917815804,1.938335301,5.900401433,-39.55622612,0.844433433,0.595919319,0.439559765,0.912942301,15.37501375,0,18.95084253,0.031114045,0.000878625,0,0.06324351,0.060330387,0,0
CA182,0.55604397,-79.17790798,0,169,active cacao,active cacao,NA,163.6336365,7.204336718,112.6929112,1798905.375,2.773099661,0.780630673,3.672176366,-34.81841079,0.360224579,0.133098139,0.000842635,0.57969536,67.09693241,0,18.47497618,0.070291721,0,0,0.314476059,0.02086769,0.297557576,0
CA183,0.55407599,-79.18765697,0,147,active cacao,active cacao,NA,145.3806305,3.752791179,150.668962,1805691.25,8.27545166,-1.201713576,1.732009797,-33.71675477,0.429829337,0.547698099,0.425158724,0.62070836,0,0.184551118,41.37763591,0.155919515,0,0,0.271123651,0.069758798,0.089295591,0
CA184,0.47076196,-79.23226504,0,149,active cacao,active cacao,NA,143.9603882,2.192381865,242.8577377,1807793.25,5.406649113,-0.675876406,1.151223594,-12.45849635,0.218488347,0.150187018,0,0.685932831,203.5960457,0,3.447099022,0.07186419,0.003403374,0,0.191382904,0.322557363,0.207407141,0
CA185,0.46492,-79.214,0,172,active cacao,active cacao,NA,170.612793,18.1109383,322.9040857,1717064,2.347031355,-0.8352,7.8924,-19.15145466,0.667611769,0.407171139,0.156910044,0.846594072,43.94883343,0,77.80630788,0.009676876,0,0.030121228,0.224592427,0,0.064464878,0.003532819
CA186,0.53855,-79.18964,0,186,active cacao,active cacao,NA,213.0844879,7.418424206,202.133997,1793887.25,7.152952671,-2.644,4.10152,-32.92899882,0.738143074,0.618411502,0,0.821679508,123.5080173,0,6.197411051,0.086327452,0,0,0.040707575,0.118054456,0.016778032,0
CA187,0.46565,-79.214167,0,160,active cacao,active cacao,NA,147.6388245,9.661765442,327.9871189,1769866.5,10.42459583,-2.623983,4.277999,-19.14055767,0.675010409,0.374134704,0.018840679,0.855631128,80.98897139,0,77.80630788,0.00591747,0,0.028674417,0.227670834,0,0.061976033,0.000750836
CA59,0.55730998,-79.179868,1,165,active cacao,active cacao,NA,169.7193298,6.447839738,249.7454729,1804235.625,2.425754309,2.037376601,3.836659398,-34.62488565,0.334744548,0.248889287,0.042631574,0.542148116,66.69161594,0,18.47497618,0.104455453,0,0,0.364565424,0.02086769,0.238789131,0
CA60,0.510266,-79.2272,1,440,active cacao,active cacao,NA,442.9050293,6.482589649,176.8047875,1861138,2.821350813,-0.609808,2.71228,-16.42552216,0.719369501,0.593923654,0.133244033,0.826210558,17.96248297,0,2.371523785,0.093563555,0.002687054,0,0.068888324,0.047721523,0.030848394,0.037130307
CA61,0.53400099,-79.18769603,1,324,active cacao,active cacao,NA,323.7951965,12.47711786,315.2265254,1801402.75,1.715382218,1.135114651,5.37027255,-33.07671431,0.797493026,0.57519646,0.072310924,0.858823099,54.99200716,0,3.916493022,0.037159297,0,0,0.040809053,0.118054456,0.006492066,0
CA62,0.511049,-79.212168,1,372,active cacao,active cacao,NA,371.1590271,8.649337629,224.7033694,1824538.125,20.10771179,-1.39718104,3.89457592,-22.85633466,0.27522591,0.235225913,0,0.669023483,131.6154019,0,14.87673703,0.173076976,0.011717153,0,0.325901994,0.074895191,0.140092262,0
CA63,0.54401822,-79.14532595,1,240,active cacao,active cacao,NA,262.6989746,23.78643145,113.9886162,1684612,1.529049158,0.217325447,11.06790196,-39.17752686,0.831878546,0.563946651,0,0.907165749,143.8804478,0,0.843781839,0.035950858,0.000878625,0,0.070961582,0.060330387,0,0
CA64,0.54348119,-79.15456,1,256,active cacao,active cacao,NA,270.5091553,7.348731547,115.5100899,1817144.375,2.166043997,2.192108664,4.383326056,-37.94425683,0.675527478,0.582582413,0.160620653,0.810451028,35.0712228,0,5.376492331,0.043216191,0,0,0.094795001,0.092206374,0.094350404,0
CAZ01,0.412866,-79.259515,0,150,active cacao,active cacao,NA,156.4738617,3.731327434,212.9439268,1812213.5,4.717746258,-0.7347746,1.772569,-0.456237826,0.086226422,0.037737876,0,0.974151201,101.6922938,0,2010.536813,0,0,0,0,0,0,0
CAZ05,0.426547,-79.24618,0,160,active cacao,active cacao,NA,152,1.237323901,207.907092,1814635.75,17.40653229,-0.6915144,0.6915144,-5.343804257,0,0,0,0.959110999,-1,0,2010.536813,0,0,0,0,0,0,0
CAZ07,0.399314,-79.25305,0,170,active cacao,active cacao,NA,167.5002136,6.929332699,296.8030569,1805488.625,2.183904409,1.237256,3.169004,-2.285706721,0.059084143,0.098965485,0,0.9653212,184.4537451,0,2010.536813,0,0,0,0,0,0,0
CAZ12,0.421661,-79.235676,0,167,active cacao,active cacao,NA,158.3443146,0.790242242,116.5675844,1813731.125,6.300569057,-1.16558976,2.29210336,-8.694465298,0.016696598,0,0,0.964725767,812.219839,0,2010.536813,0,0,0,0,0,0,0
CAZ14,0.41128,-79.265714,0,148,active cacao,active cacao,NA,152.2888031,5.237993494,286.9070783,1806596,3.764713526,0.1208504,2.4199544,1.599818727,0.0613539,0.045001812,0,0.983745899,352.8156002,0,2010.536813,0,0,0,0,0,0,0
CAZ17,0.407272,-79.2509,0,163,active cacao,active cacao,NA,161.5271606,5.637875662,295.1187296,1807480.375,3.44098115,-1.073432,2.872808,-3.10747006,0.036490629,0.027454226,0,0.955570565,286.5132051,0,2010.536813,0,0,0,0,0,0,0
CR01,0.49654763,-79.17820655,1,560,cacao regeneration,cacao regeneration early,2017,561.6000366,11.49235454,116.3447168,1861005.375,2.300090551,0.180866219,4.993902,-34.06527258,0.768249859,0.535918125,0.234387792,0.884990015,31.84108761,0,0.492452608,0,0.001567733,0,0,0.168387719,0.061794687,0
