group,species,individual,number,trait,measure
Euglossini,Aglae caerulea,J-0975,5984,intertegularDistance,4.29
Euglossini,Aglae caerulea,J-0975,5987,proboscisLength,16.02
Euglossini,Aglae caerulea,J-0975,5985,wingLength,19.57
Euglossini,Aglae caerulea,J-0975,5986,wingWidth,6.25
Apini,Apis mellifera,K-0080,4790,intertegularDistance,2.94
Apini,Apis mellifera,K-0081,4795,intertegularDistance,2.81
Apini,Apis mellifera,K-0082,4785,intertegularDistance,2.52
Apini,Apis mellifera,K-0080,4791,proboscisLength,4.84
Apini,Apis mellifera,K-0081,4796,proboscisLength,5.53
Apini,Apis mellifera,K-0082,4786,proboscisLength,4.65
Apini,Apis mellifera,K-0080,4788,wingLength,8.28
Apini,Apis mellifera,K-0081,4793,wingLength,8.63
Apini,Apis mellifera,K-0082,4783,wingLength,8.02
Apini,Apis mellifera,K-0080,4789,wingWidth,2.89
Apini,Apis mellifera,K-0081,4794,wingWidth,2.74
Apini,Apis mellifera,K-0082,4784,wingWidth,2.62
Halictidae,Augochlora sp11,K-0203,1944,intertegularDistance,0.778
Halictidae,Augochlora sp11,K-0204,1950,intertegularDistance,0.853
Halictidae,Augochlora sp11,K-0205,1956,intertegularDistance,0.813
Halictidae,Augochlora sp11,K-0206,1962,intertegularDistance,0.861
Halictidae,Augochlora sp11,K-0207,1968,intertegularDistance,0.84
Halictidae,Augochlora sp11,K-0208,1974,intertegularDistance,0.853
Halictidae,Augochlora sp11,K-0209,1980,intertegularDistance,0.886
Halictidae,Augochlora sp11,K-0728,1986,intertegularDistance,0.874
Halictidae,Augochlora sp11,K-0203,1945,proboscisLength,1.34
Halictidae,Augochlora sp11,K-0204,1951,proboscisLength,1.378
Halictidae,Augochlora sp11,K-0205,1957,proboscisLength,1.333
Halictidae,Augochlora sp11,K-0206,1963,proboscisLength,1.249
Halictidae,Augochlora sp11,K-0207,1969,proboscisLength,1.337
Halictidae,Augochlora sp11,K-0208,1975,proboscisLength,1.41
Halictidae,Augochlora sp11,K-0209,1981,proboscisLength,1.386
Halictidae,Augochlora sp11,K-0728,1987,proboscisLength,1.33
Halictidae,Augochlora sp11,K-0203,1943,wingLength,3.352
Halictidae,Augochlora sp11,K-0204,1949,wingLength,3.371
Halictidae,Augochlora sp11,K-0205,1955,wingLength,3.452
Halictidae,Augochlora sp11,K-0206,1961,wingLength,3.41
Halictidae,Augochlora sp11,K-0207,1967,wingLength,3.475
Halictidae,Augochlora sp11,K-0208,1973,wingLength,3.422
Halictidae,Augochlora sp11,K-0209,1979,wingLength,3.345
Halictidae,Augochlora sp11,K-0728,1985,wingLength,3.357
Halictidae,Augochlora sp15,K-0917,1992,intertegularDistance,1.297
Halictidae,Augochlora sp15,K-0918,1998,intertegularDistance,1.265
Halictidae,Augochlora sp15,K-0917,1993,proboscisLength,1.904
Halictidae,Augochlora sp15,K-0918,1999,proboscisLength,2.164
Halictidae,Augochlora sp15,K-0917,1991,wingLength,5.048
Halictidae,Augochlora sp15,K-0918,1997,wingLength,4.667
Halictidae,Augochlora sp20,B0403,4610,intertegularDistance,1.68
Halictidae,Augochlora sp20,B0403,4611,proboscisLength,4.94
Halictidae,Augochlora sp20,B0403,4608,wingLength,5.55
Halictidae,Augochlora sp20,B0403,4609,wingWidth,1.87
Halictidae,Augochlora sp4,K-0211,1926,intertegularDistance,1.086
Halictidae,Augochlora sp4,K-0211,1927,proboscisLength,1.823
Halictidae,Augochlora sp4,K-0211,1925,wingLength,3.912
Halictidae,Augochlora sp8,K-0919,1932,intertegularDistance,1.171
Halictidae,Augochlora sp8,K-0919,1933,proboscisLength,1.509
Halictidae,Augochlora sp8,K-0919,1931,wingLength,4.547
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0076,1884,intertegularDistance,1.227
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0077,1938,intertegularDistance,1.266
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0210,1890,intertegularDistance,1.352
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0076,1885,proboscisLength,2.719
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0077,1939,proboscisLength,2.304
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0210,1891,proboscisLength,2.828
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0076,1883,wingLength,4.639
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0077,1937,wingLength,4.523
Halictidae,Augochlora sp9 / (Oxystoglossella),K-0210,1889,wingLength,4.719
Halictidae,Augochlorella cf ephyra,B9821,4620,intertegularDistance,1.38
Halictidae,Augochlorella cf ephyra,B9822,4625,intertegularDistance,1.31
Halictidae,Augochlorella cf ephyra,B9821,4621,proboscisLength,3.85
Halictidae,Augochlorella cf ephyra,B9822,4626,proboscisLength,3.42
Halictidae,Augochlorella cf ephyra,B9821,4618,wingLength,5.29
Halictidae,Augochlorella cf ephyra,B9822,4623,wingLength,4.46
Halictidae,Augochlorella cf ephyra,B9821,4619,wingWidth,1.59
Halictidae,Augochlorella cf ephyra,B9822,4624,wingWidth,1.59
Halictidae,Augochlorella cf tredecim,D-1887,4954,intertegularDistance,1.02
Halictidae,Augochlorella cf tredecim,D-1887,4956,wingLength,3.66
Halictidae,Augochlorella cf tredecim,D-1887,4957,wingWidth,1.07
Halictidae,Augochlorella sp1,K-0706,2004,intertegularDistance,0.934
Halictidae,Augochlorella sp1,K-0707,2010,intertegularDistance,0.872
Halictidae,Augochlorella sp1,K-0708,2016,intertegularDistance,0.978
Halictidae,Augochlorella sp1,K-0706,2005,proboscisLength,1.423
Halictidae,Augochlorella sp1,K-0707,2011,proboscisLength,1.447
Halictidae,Augochlorella sp1,K-0708,2017,proboscisLength,1.425
Halictidae,Augochlorella sp1,K-0706,2003,wingLength,3.518
Halictidae,Augochlorella sp1,K-0707,2009,wingLength,3.569
Halictidae,Augochlorella sp1,K-0708,2015,wingLength,3.49
Halictidae,Augochlorella sp2,K-1384,2808,intertegularDistance,0.846
Halictidae,Augochlorella sp2,K-1385,2814,intertegularDistance,0.935
Halictidae,Augochlorella sp2,K-1386,2820,intertegularDistance,0.748
Halictidae,Augochlorella sp2,K-1387,2826,intertegularDistance,0.964
Halictidae,Augochlorella sp2,K-1388,2832,intertegularDistance,0.77
Halictidae,Augochlorella sp2,K-1389,2838,intertegularDistance,0.943
Halictidae,Augochlorella sp2,K-1390,2844,intertegularDistance,0.794
Halictidae,Augochlorella sp2,K-1384,2809,proboscisLength,1.314
Halictidae,Augochlorella sp2,K-1385,2815,proboscisLength,1.548
Halictidae,Augochlorella sp2,K-1386,2821,proboscisLength,1.358
Halictidae,Augochlorella sp2,K-1387,2827,proboscisLength,1.756
Halictidae,Augochlorella sp2,K-1388,2833,proboscisLength,1.524
Halictidae,Augochlorella sp2,K-1389,2839,proboscisLength,1.728
Halictidae,Augochlorella sp2,K-1390,2845,proboscisLength,1.369
Halictidae,Augochlorella sp2,K-1384,2807,wingLength,2.939
Halictidae,Augochlorella sp2,K-1385,2813,wingLength,3.564
Halictidae,Augochlorella sp2,K-1386,2819,wingLength,3.265
Halictidae,Augochlorella sp2,K-1387,2825,wingLength,3.389
Halictidae,Augochlorella sp2,K-1388,2831,wingLength,3.008
Halictidae,Augochlorella sp2,K-1389,2837,wingLength,3.692
Halictidae,Augochlorella sp2,K-1390,2843,wingLength,3.01
Halictidae,Augochloropsis sp2,K-0200,2022,intertegularDistance,1.405
Halictidae,Augochloropsis sp2,K-0312,2040,intertegularDistance,1.499
Halictidae,Augochloropsis sp2,K-0676,2046,intertegularDistance,1.749
Halictidae,Augochloropsis sp2,K-0677,2052,intertegularDistance,1.607
Halictidae,Augochloropsis sp2,K-0678,2058,intertegularDistance,1.474
Halictidae,Augochloropsis sp2,K-0679,2064,intertegularDistance,1.485
Halictidae,Augochloropsis sp2,K-0680,2070,intertegularDistance,1.506
Halictidae,Augochloropsis sp2,K-0683,2028,intertegularDistance,1.186
Halictidae,Augochloropsis sp2,K-0684,2034,intertegularDistance,1.308
Halictidae,Augochloropsis sp2,K-0200,2023,proboscisLength,1.62
Halictidae,Augochloropsis sp2,K-0312,2041,proboscisLength,1.772
Halictidae,Augochloropsis sp2,K-0676,2047,proboscisLength,1.928
Halictidae,Augochloropsis sp2,K-0677,2053,proboscisLength,1.755
Halictidae,Augochloropsis sp2,K-0678,2059,proboscisLength,1.74
Halictidae,Augochloropsis sp2,K-0679,2065,proboscisLength,1.824
Halictidae,Augochloropsis sp2,K-0680,2071,proboscisLength,1.854
Halictidae,Augochloropsis sp2,K-0683,2029,proboscisLength,1.718
Halictidae,Augochloropsis sp2,K-0684,2035,proboscisLength,1.541
Halictidae,Augochloropsis sp2,K-0200,2021,wingLength,4.424
Halictidae,Augochloropsis sp2,K-0312,2039,wingLength,5.005
Halictidae,Augochloropsis sp2,K-0676,2045,wingLength,5.98
Halictidae,Augochloropsis sp2,K-0677,2051,wingLength,5.19
Halictidae,Augochloropsis sp2,K-0678,2057,wingLength,5.083
Halictidae,Augochloropsis sp2,K-0679,2063,wingLength,5.383
Halictidae,Augochloropsis sp2,K-0680,2069,wingLength,5.239
Halictidae,Augochloropsis sp2,K-0683,2027,wingLength,4.175
Halictidae,Augochloropsis sp2,K-0684,2033,wingLength,4.576
Halictidae,Augochloropsis sp3,K-0717,2076,intertegularDistance,1.476
Halictidae,Augochloropsis sp3,K-0812,2082,intertegularDistance,1.572
Halictidae,Augochloropsis sp3,K-0920,2088,intertegularDistance,1.397
Halictidae,Augochloropsis sp3,K-0717,2077,proboscisLength,1.713
Halictidae,Augochloropsis sp3,K-0812,2083,proboscisLength,1.874
Halictidae,Augochloropsis sp3,K-0920,2089,proboscisLength,2.332
Halictidae,Augochloropsis sp3,K-0717,2075,wingLength,4.849
Halictidae,Augochloropsis sp3,K-0812,2081,wingLength,5.053
Halictidae,Augochloropsis sp3,K-0920,2087,wingLength,4.981
