Group,Species,Individual,proboscisLength,bodyLength,proboscisBodyRatio,wingLength,wingArea,aspectRatio,lightness,contrast,OBS,,,
Erebidae: Arctiinae,Abrochia_sp_1346,EcEs-Lep-01153,NA,12.75,NA,12.79,55.61,2.94,92,118,,,,
Erebidae: Arctiinae,Abrochia_sp_1346,EcEs-Lep-08749,NA,13.85,NA,13.27,59.32,2.97,108,111,,,,
Erebidae: Arctiinae,Abrochia_sp_1346,EcEs-Lep-08750,NA,13.82,NA,13.84,63.22,3.03,114,113,,,,
Erebidae: Arctiinae,Aclytia_heber_773,EcEs-Lep-00216,6.99,11.19,0.62,13.99,92.89,2.11,43,46,,,,
Erebidae: Arctiinae,Aclytia_heber_773,EcEs-Lep-08458,NA,12.02,NA,14.24,99.04,2.05,38,36,,,,
Erebidae: Arctiinae,Aclytia_nr_heber_2017,EcEs-Lep-00314,NA,11.91,NA,14.62,94.58,2.26,48,41,,,,
Erebidae: Arctiinae,Aclytia_nr_heber_2017,EcEs-Lep-00378,6.75,12.49,0.54,15.28,104.39,2.24,39,34,,,,
Erebidae: Arctiinae,Aclytia_nr_heber_2017,EcEs-Lep-08493,NA,12.22,NA,16.2,121.69,2.16,44,38,,,,
Sphingidae,Adhemarius_daphne_101,EcEs-Lep-00453,31.01,38.64,0.8,47.72,816.82,2.79,77,27,,,,
Erebidae: Arctiinae,Agaraea_nr_minuta_910,EcEs-Lep-00068,1,6.68,0.15,9.45,51.14,1.75,198,38,"""short"" in measurement. 1 mm used",,,
Erebidae: Arctiinae,Agaraea_semivitrea_909,EcEs-Lep-00055,1,10.98,0.09,14.37,94.48,2.19,211,48,PL: proxy. Measure repeated from EcEs-Lep-00068,,,
Sphingidae,Agrius_cingulata_133,EcEs-Lep-01507,108.07,45.5,2.38,44.49,759.14,2.61,88,58,,,,
Erebidae: Arctiinae,Agylla_cf_zucarina_853,EcEs-Lep-00056,7.83,11.44,0.68,12.69,92.85,1.73,218,18,,,,
Erebidae: Arctiinae,Agylla_cf_zucarina_853,EcEs-Lep-00098,8.37,11.22,0.75,14.73,113.13,1.92,216,16,,,,
Erebidae: Arctiinae,Agylla_cf_zucarina_853,EcEs-Lep-11714,NA,11.92,NA,17.11,148.53,1.97,208,20,,,,
Erebidae: Arctiinae,Agylla_nr_argentifera_1154,EcEs-Lep-00125,7.8,14.01,0.56,21.8,251.85,1.89,215,8,,,,
Erebidae: Arctiinae,Agylla_nr_argentifera_1154,EcEs-Lep-00229,10.27,14.37,0.71,18.09,184.47,1.77,222,18,,,,
Erebidae: Arctiinae,Agylla_nr_argentifera_1154,EcEs-Lep-00388,12.2,15.47,0.79,23.32,294.73,1.84,218,12,,,,
Erebidae: Arctiinae,Agylla_nr_argentifera_1154,EcEs-Lep-01907,NA,15.95,NA,21.82,255.01,1.87,210,20,,,,
Erebidae: Arctiinae,Agylla_nr_argentifera_1154,EcEs-Lep-01972,NA,15.06,NA,18.64,187.14,1.86,209,23,,,,
Erebidae: Arctiinae,Agylla_nr_argentifera_1154,EcEs-Lep-01973,NA,14.09,NA,18.56,201.38,1.71,210,18,,,,
Erebidae: Arctiinae,Agylla_nr_nivea_347,EcEs-Lep-00231,12.92,20.06,0.64,23.23,289.45,1.86,215,23,,,,
Erebidae: Arctiinae,Agylla_nr_nivea_347,EcEs-Lep-00395,11.8,19.02,0.62,20.72,230.04,1.87,208,23,,,,
Erebidae: Arctiinae,Agylla_nr_nivea_347,EcEs-Lep-00791,NA,13.97,NA,21.3,246.65,1.84,204,22,,,,
Erebidae: Arctiinae,Agylla_nr_nivea_347,EcEs-Lep-01908,NA,16.12,NA,20.85,215.05,2.02,206,23,,,,
Erebidae: Arctiinae,Agylla_nr_nivea_347,EcEs-Lep-01909,NA,15.61,NA,21.75,229.64,2.06,207,28,,,,
Erebidae: Arctiinae,Agylla_sp_1156,EcEs-Lep-00334,4.43,7.56,0.59,9.85,54.51,1.78,164,32,,,,
Erebidae: Arctiinae,Agylla_sp_1185,EcEs-Lep-00288,8.67,14.67,0.59,20.74,229.58,1.87,224,9,,,,
Erebidae: Arctiinae,Agylla_sp_1185,EcEs-Lep-00621,11.32,16.63,0.68,17.96,186.87,1.73,206,25,,,,
Erebidae: Arctiinae,Agylla_sp_1185,EcEs-Lep-00789,NA,14.09,NA,20.79,240.31,1.8,204,29,,,,
Erebidae: Arctiinae,Agylla_sp_1185,EcEs-Lep-13489,NA,14.87,NA,16.35,161.6,1.65,206,23,,,,
Erebidae: Arctiinae,Agylla_sp_854,EcEs-Lep-00127,6.68,9.73,0.69,14.56,130.84,1.62,216,10,,,,
Erebidae: Arctiinae,Agylla_sp_854,EcEs-Lep-00145,6.83,10.28,0.66,13.32,139,1.28,210,28,,,,
Erebidae: Arctiinae,Agylla_sp_854,EcEs-Lep-00243,7.05,8.82,0.8,12.89,129.35,1.28,212,36,,,,
Erebidae: Arctiinae,Agylla_sp_854,EcEs-Lep-01980,NA,8.45,NA,14.04,111.8,1.76,210,20,,,,
Erebidae: Arctiinae,Agylla_sp_855,EcEs-Lep-00212,6.23,11.45,0.54,12.19,93.06,1.6,186,48,,,,
Erebidae: Arctiinae,Agylla_sp_855,EcEs-Lep-00286,5.13,13.93,0.37,12.47,95.43,1.63,156,46,,,,
Erebidae: Arctiinae,Agylla_sp_855,EcEs-Lep-00296,5.41,8.83,0.61,13.68,93.5,2,207,29,,,,
Erebidae: Arctiinae,Agylla_sp_855,EcEs-Lep-00459,7.54,7.63,0.99,13.34,99.82,1.78,214,24,,,,
Erebidae: Arctiinae,Agylla_sp_858,EcEs-Lep-00329,9.3,13.01,0.71,16.1,203.13,1.28,193,48,,,,
Erebidae: Arctiinae,Agylla_sp_858,EcEs-Lep-00787,NA,11.91,NA,19.36,199.2,1.88,208,16,,,,
Erebidae: Arctiinae,Agylla_sp_858,EcEs-Lep-11520,NA,12.58,NA,18.44,183.08,1.86,211,19,,,,
Erebidae: Arctiinae,Agylla_sp_860,EcEs-Lep-00586,7.92,7.09,1.12,8.37,36.34,1.93,100,44,,,,
Erebidae: Arctiinae,Agylla_sp_860,EcEs-Lep-00783,NA,11.08,NA,13.23,106.55,1.64,162,58,,,,
Erebidae: Arctiinae,Agylla_sp_860,EcEs-Lep-00785,NA,6.1,NA,13.9,100.8,1.92,211,17,,,,
Erebidae: Arctiinae,Agylla_sp_860,EcEs-Lep-13344,NA,7.41,NA,14.26,115.57,1.76,204,29,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00152,8.47,9.69,0.87,18.83,206.58,1.72,214,12,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00247,8.11,16.71,0.49,15.18,169.03,1.36,208,29,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00290,7.9,11.28,0.7,18.76,196.83,1.79,225,11,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00500,NA,13.7,NA,16.92,209.37,1.37,198,30,,,,
Erebidae: Arctiinae,Amastus_episcostosia_1229,EcEs-Lep-01042,26.32,31.98,0.82,41.26,858.31,1.98,66,77,,,,
Erebidae: Arctiinae,Amastus_episcostosia_1229,EcEs-Lep-01130,28.54,38.48,0.74,47.53,1012.73,2.23,73,66,,,,
Erebidae: Arctiinae,Amaxia_cf_lepida_913,EcEs-Lep-00284,7.15,14.58,0.49,16.53,129.94,2.1,144,66,,,,
Erebidae: Arctiinae,Amaxia_cf_lepida_913,EcEs-Lep-01118,6.74,15.86,0.42,19.32,192.6,1.94,120,48,,,,
Erebidae: Arctiinae,Amaxia_pandama_912,EcEs-Lep-00094,10.13,15.24,0.66,18.89,127.75,2.79,133,65,,,,
Erebidae: Arctiinae,Amaxia_pandama_912,EcEs-Lep-00618,10.5,15.54,0.68,18.45,142,2.4,101,66,,,,
