Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0002,Apocynaceae,Allamanda,Allamanda_cathartica,ScramblingShrub,100,36.8,27,Funnelform,Yellow,NA,Actinomorphic,Melittophil,Nectar,6
M0003,Gesneriaceae,Drymonia,Drymonia_cf._Alloplectoides,ScramblingShrub,1,35.3,16.7,Campanulate,White,Pink,Zygomorphic,Melittophil,Nectar,2
M0004,Bignoniaceae,NA,NA,NA,100,38.5,15.3,Funnelform,Pink,White,Zygomorphic,Melittophil,Nectar,4
M0005,Malvaceae,Apeiba,Apeiba_membranacea,Tree,10000,0,7.5,Rotate,Yellow,NA,Actinomorphic,Melittophil,Pollen,23
M0006,Annonaceae,Annona,Annona_sp.,Tree,1000,6.7,10.7,Crateriform,White,Green,Actinomorphic,Cantharophil,FleshyParts,4
M0007,Fabaceae,Desmodium,Desmodium_sp.1,SubshrubOrShrub,1,3.8,2.2,Papilionate,Pink,NA,Zygomorphic,Melittophil,Nectar,8
M0008,Fabaceae,Desmodium,Desmodium_sp._2,HerbGeneral,1,1.6,2.9,Papilionate,Pink,NA,Zygomorphic,Melittophil,Nectar,24
M0009,Ochnaceae,Sauvagesia,Sauvagesia_erecta,Annual,1,0,1.6,Rotate,White,Pink,Actinomorphic,Melittophil,Pollen,263
M0010,Haemodoraceae,Xiphidium,Xiphidium_caeruleum,Geophyte,10,0,2.9,Rotate,White,NA,Actinomorphic,Melittophil,"Pollen, Scents",25
M0011,Urticaceae,Cecropia,Cecropia_sp.,Tree,10000,0,0.6,Spike,White,NA,Actinomorphic,Ambophil,Pollen,5
M0012,Lecythidaceae,Eschweilera,Eschweilera_cf._Rimbachii,Tree,1000,0,16.6,Brushform,Purple,Yellow,Zygomorphic,Melittophil,"Pollen, Nectar",2
M0013,NA,NA,NA,NA,10,48.5,13.1,Tubulate,Yellow,Red,Zygomorphic,Ornithophil,Nectar,1
M0014,Lecythidaceae,Grias,Grias_peruviana,Tree,1000,0,16.2,Rotate,Yellow,NA,Actinomorphic,Melittophil,"Pollen, Nectar",5
M0016,Malvaceae,Theobroma,Theobroma_cacao,Tree,100,0.1,2.8,Rotate,White,Purple,Actinomorphic,"Myophil, Myrmecophil, Melittophil",Pollen,459
M0017,Heliconiaceae,Heliconia,Heliconia_sp._1,SubshrubOrShrub,10,50.2,19.3,Tubulate,Red,NA,Zygomorphic,Ornithophil,Nectar,1
M0018,Gesneriaceae,Gasteranthus,Gasteranthus_sp._1,SubshrubOrShrub,1,16.1,3.2,Urceolate,Red,NA,Zygomorphic,Ornithophil,Nectar,3
M0019,Araliaceae,Hydrocotyle,Hydrocotyle_bonplandii,Perennial,10,0.1,0.1,Brushform,White,NA,Actinomorphic,SDI,"Pollen, Nectar",468
M0020,Asteraceae,Emilia,Emilia_cf._Sonchifolia,HerbGeneral,10,5.4,0.6,Capitulate,Pink,NA,Actinomorphic,Psychophil,Nectar,372
M0021,Asteraceae,Adenostemma,cf._Adenostemma_sp.,Perennial,10,2.7,1,Capitulate,White,NA,Actinomorphic,Psychophil,Nectar,35
M0022,Fabaceae,Desmodium,Desmodium_sp._3,SubshrubOrShrub,10,2.1,3.1,Papilionate,Pink,NA,Zygomorphic,Melittophil,Nectar,24
M0023,Gesneriaceae,Drymonia,Drymonia_cf._Coriacea,EpiphyticShrub,10,23.1,4.1,Saccate,Yellow,Red,Zygomorphic,Ornithophil,Nectar,1
M0024,Asteraceae,Ageratum,Ageratum_conyzoides,Annual,10,3.6,0.5,Capitulate,White,Pink,Actinomorphic,"Tripophil, Melittophil","Nectar, Pollen",61
M0025,Lamiaceae,NA,NA,HerbGeneral,10,2.1,0.9,Labiate,White,NA,Zygomorphic,Melittophil,Nectar,409
M0026,Acanthaceae,Asystasia,Asystasia_intrusa,Annual,1,11.7,5.2,Campanulate,White,Purple,Zygomorphic,Melittophil,Nectar,50
M0027,Malvaceae,Sida,Sida_cf._Poeppigiana,SubshrubOrShrub,1,0,4,Rotate,Yellow,Orange,Actinomorphic,Melittophil,Nectar,20
M0028,Commelinaceae,Aneilema,Aneilema_umbrosum,Perennial,10,0,1.3,Papilionate,White,Yellow,Zygomorphic,Melittophil,Pollen,281
M0029,Orchidaceae,Erycina,Erycina_pusilla,Epiphyte,1,0,4,OrchidFlower,Yellow,Orange,Zygomorphic,Melittophil,Deception,5
M0030,Maranthaceae,Goeppertia,Goeppertia_cf._Cyclophora,Perennial,1,23.8,2.7,Tubulate,White,Purple,Zygomorphic,Ornithophil,Nectar,3
M0031,Rubiaceae,Sabicea,Sabicea_villosa,ScramblingShrub,10,6.1,1.4,Tubulate,White,NA,Actinomorphic,Phalenophil,Nectar,28
M0032,Rubiaceae,Spermacoce,Spermacoce_cf._Remota,Annual,10,2.6,0.8,Tubulate,White,NA,Actinomorphic,Phalenophil,Nectar,1020
M0033,Maranthaceae,Ischnosiphon,Ischnosiphon_leucophaeus,Geophyte,10,10.5,3.4,Tubulate,White,NA,Zygomorphic,"Phalenophil, Sphingophil",Nectar,9
M0034,Solanaceae,Solanum,Solanum_sp._1,SubshrubOrShrub,10,0,2.3,Rotate,White,Yellow,Actinomorphic,Melittophil,Pollen,49
M0035,Asteraceae,Mikania,Mikania_sp._1,ScramblingShrub,100,4.1,1.7,Capitulate,White,NA,Actinomorphic,SDI*,Nectar,29
M0036,Malvaceae,Urena,Urena_lobata,SubshrubOrShrub,10,0,5,Rotate,Pink,NA,Actinomorphic,Melittophil,Nectar,178
M0037,Melastomataceae,Miconia,Miconia_cf._Granatensis,Perennial,100,4,1.7,Brushform,White,Purple,Actinomorphic,Melittophil,Pollen,42
M0038,Gesneriaceae,Drymonia,Drymonia_warszewicziana,EpiphyticShrub,1,28.1,8.6,Tubulate,White,Yellow,Zygomorphic,Melittophil,Nectar,6
M0039,Fabaceae,Mimosa,Mimosa_polydactyla,ScramblingShrub,10,1.9,1.5,Brushform,White,NA,Actinomorphic,Melittophil,Nectar,1
M0040,Fabaceae,Inga,Inga_sp._1,Tree,1000,4.9,1.7,Brushform,White,NA,Actinomorphic,Phalenophil,Nectar,6
M0041,Bromeliaceae,Guzmania,Guzmania_remyi,Epiphyte,10,17,4.1,Tubulate,White,Pink,Actinomorphic,Ornithophil,Nectar,3
M0043,Myristicaceae,Virola,Virola_sp._1_(reidii_or_pavonis),Tree,10000,1.9,2.1,Crateriform,Yellow,NA,Actinomorphic,SDI,Nectar,3
M0044,Myristicaceae,Otoba,Otoba_novogranatensis,Tree,10000,0,1.3,Cruciform,Green,White,Actinomorphic,Cantharophil,"Pollen, Nectar",4
M0045,Rubiaceae,Alibertia,cf._Alibertia_patinoi,Tree,1000,35.1,6.5,Tubulate,White,Green,Actinomorphic,Sphingophil,Nectar,2
M0046,Salicaceae,Xylosma,Xylosma_tessmannii,Tree,10000,0,2.2,Cyanthiform,Yellow,Green,Actinomorphic,Melittophil,"Pollen, Nectar",1
M0047,Rubiaceae,Psychotria,Psychotria_sp._1,ShrubOrTree,1000,2.4,2.6,Crateriform,White,NA,Actinomorphic,Melittophil,Nectar,1
M0048,Rubiaceae,Faramea,Faramea_sp._1,SubshrubOrShrub,100,7.2,1.4,Tubulate,Blue,NA,Actinomorphic,"Phalenophil, Melittophil",Nectar,8
M0049,Arecaceae,Wettinia,Wettinia_quinaria,Tree,10000,0,4.3,Rotate,White,NA,Actinomorphic,Cantharophil,Pollen,13
M0050,Malphigiaceae,NA,NA,Tree,1000,0,5.2,Rotate,Yellow,NA,Zygomorphic,Melittophil,Oils,2
M0051,Arecaceae,Iriartea,cf._Iriartea_deltoidea,Tree,10000,0,3,Rotate,White,NA,Actinomorphic,Melittophil,Pollen,3
M0052,Gesneriaceae,Columnea,Columnea_cf._Herthae,Epiphyte,10,17,3,Tubulate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,17
M0053,Gesneriaceae,Drymonia,Drymonia_cf._Dodsonii,SubshrubOrShrub,10,18.5,3.5,Saccate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,3
