sample,colDate,plot,stratum,regen_age,numPols,polGroup,polSpecies,polGenus,ASV,plantFamily,plantGenus,relAbund,weight,weight_100,weight_1000,weight_10000
BAU_0226,6/4/2023,CA62,Understory,0,6,Apidae_Apini,Apis_mellifera,Apis,Baltimora_recta,Asteraceae,Baltimora,0.220284238,2,22,220,2203
UD22_1318,10/4/2023,PR23,Understory,1,3,Apidae_Apini,Apis_mellifera,Apis,Baltimora_recta,Asteraceae,Baltimora,0.245244078,2,25,245,2452
UD22_1570,4/11/2023,PA56,Understory,0,58,Apidae_Apini,Apis_mellifera,Apis,Begonia_fischeri,Begoniaceae,Begonia,0.118373912,1,12,118,1184
UD22_1335,29/03/2023,CR13,Understory,1,2,Apidae_Apini,Apis_mellifera,Apis,Cecropia_garciae,Urticaceae,Cecropia,0.241184479,2,24,241,2412
UD22_1580,4/11/2023,PA56,Understory,0,2,Apidae_Apini,Apis_mellifera,Apis,Cecropia_garciae,Urticaceae,Cecropia,0.137691167,1,14,138,1377
UD22_1628,25/10/2023,PA58,Understory,0,1,Apidae_Apini,Apis_mellifera,Apis,Cecropia_garciae,Urticaceae,Cecropia,0.13216392,1,13,132,1322
UD22_1318,10/4/2023,PR23,Understory,1,3,Apidae_Apini,Apis_mellifera,Apis,Cecropia_insignis,Urticaceae,Cecropia,0.10566224,1,11,106,1057
UD22_1706,27/10/2023,OG50,Understory,NA,1,Apidae_Apini,Apis_mellifera,Apis,Cecropia_spc,Urticaceae,Cecropia,0.116748522,1,12,117,1167
UD22_1628,25/10/2023,PA58,Understory,0,1,Apidae_Apini,Apis_mellifera,Apis,Cecropia_spc,Urticaceae,Cecropia,0.299259035,3,30,299,2993
BAU_0226,6/4/2023,CA62,Understory,0,6,Apidae_Apini,Apis_mellifera,Apis,Cenchrus_incertus,Poaceae,Cenchrus,0.141649049,1,14,142,1416
UD22_1318,10/4/2023,PR23,Understory,1,3,Apidae_Apini,Apis_mellifera,Apis,Chelonanthus_acutangulus,Gentianaceae,Chelonanthus,0.108129935,1,11,108,1081
UD22_1318,10/4/2023,PR23,Understory,1,3,Apidae_Apini,Apis_mellifera,Apis,Clibadium_grandifolium,Asteraceae,Clibadium,0.417982771,4,42,418,4180
UD22_1706,27/10/2023,OG50,Understory,NA,1,Apidae_Apini,Apis_mellifera,Apis,Clusia_fructiangusta,Clusiaceae,Clusia,0.173728461,2,17,174,1737
UD22_1554,6/11/2023,CA59,Understory,0,2,Apidae_Apini,Apis_mellifera,Apis,Emilia_sonchifolia,Asteraceae,Emilia,0.135865643,1,14,136,1359
UD22_1554,6/11/2023,CA59,Understory,0,2,Apidae_Apini,Apis_mellifera,Apis,Emilia_spc,Asteraceae,Emilia,0.269828774,3,27,270,2698
UD22_1596,4/11/2023,CA60,Understory,0,14,Apidae_Apini,Apis_mellifera,Apis,Emilia_spc,Asteraceae,Emilia,0.19747798,2,20,197,1975
UD22_1554,6/11/2023,CA59,Understory,0,2,Apidae_Apini,Apis_mellifera,Apis,Hyptis_atrorubens,Lamiaceae,Hyptis,0.406678475,4,41,407,4067
UD22_1596,4/11/2023,CA60,Understory,0,14,Apidae_Apini,Apis_mellifera,Apis,Hyptis_atrorubens,Lamiaceae,Hyptis,0.201376522,2,20,201,2014
BAU_0288,17/03/2023,CA63,Understory,0,1,Apidae_Apini,Apis_mellifera,Apis,Mikania_laevigata,Asteraceae,Mikania,0.91168265,9,91,912,9117
UD22_1706,27/10/2023,OG50,Understory,NA,1,Apidae_Apini,Apis_mellifera,Apis,Myriocarpa_cordifolia,Urticaceae,Myriocarpa,0.29647049,3,30,296,2965
UD22_1335,29/03/2023,CR13,Understory,1,2,Apidae_Apini,Apis_mellifera,Apis,Piper_marginatum,Piperaceae,Piper,0.125459496,1,13,125,1255
UD22_1596,4/11/2023,CA60,Understory,0,14,Apidae_Apini,Apis_mellifera,Apis,Sabicea_villosa,Rubiaceae,Sabicea,0.416422005,4,42,416,4164
BAU_0226,6/4/2023,CA62,Understory,0,6,Apidae_Apini,Apis_mellifera,Apis,Spermacoce_alata,Rubiaceae,Spermacoce,0.17023432,2,17,170,1702
BAU_0226,6/4/2023,CA62,Understory,0,6,Apidae_Apini,Apis_mellifera,Apis,Tabernaemontana_elegans,Apocynaceae,Tabernaemontana,0.122048978,1,12,122,1220
UD22_1628,25/10/2023,PA58,Understory,0,1,Apidae_Apini,Apis_mellifera,Apis,Urena_lobata,Malvaceae,Urena,0.238772116,2,24,239,2388
UD22_1580,4/11/2023,PA56,Understory,0,2,Apidae_Apini,Apis_mellifera,Apis,Urochloa_comata,Poaceae,Urochloa,0.345046289,3,35,345,3450
UD22_1570,4/11/2023,PA56,Understory,0,58,Apidae_Apini,Apis_mellifera,Apis,Urochloa_comata,Poaceae,Urochloa,0.338012722,3,34,338,3380
UD22_1580,4/11/2023,PA56,Understory,0,2,Apidae_Apini,Apis_mellifera,Apis,Urochloa_ruziziensis,Poaceae,Urochloa,0.348166334,3,35,348,3482
UD22_1570,4/11/2023,PA56,Understory,0,58,Apidae_Apini,Apis_mellifera,Apis,Urochloa_ruziziensis,Poaceae,Urochloa,0.321707977,3,32,322,3217
UD22_1240,15/04/2023,OG45,Understory,NA,1,Apidae_Euglossini,Euglossa_flammea-chalybeata_gr,Euglossa,Allophylus_dodsonii,Sapindaceae,Allophylus,0.38615403,4,39,386,3862
BAU_0342,17/10/2023,OG47,Understory,NA,2,Apidae_Euglossini,Euglossa_asarophora,Euglossa,Asteraceae_spc,Asteraceae,Asteraceae spc,0.116978905,1,12,117,1170
UD22_1197,17/03/2023,CA63,Understory,0,1,Apidae_Euglossini,Eulaema_cingulata,Eulaema,Baccharis_sp._Pennington_1090,Asteraceae,Baccharis,0.301251956,3,30,301,3013
