Plot_ID,Lichonycteris_obscura,Choeroniscus_sp.,Glossophaga_soricina,Lonchophylla_chocoana,Lonchophylla_concava,Lonchophylla_robusta,Micronycteris_giovanniae,Micronycteris_hirsuta,Micronycteris_megalotis,Lonchorhina_aurita,Gardnerycteris_keenani,Phylloderma_stenops,Phyllostomus_discolor,Phyllostomus_elongatus,Tonatia_bakeri,Trachops_cirrhosus,Vampyrum_spectrum,Glyphonycteris_daviesi,Glyphonycteris_sylvestris,Trinycteris_nicefori,Carollia_brevicaudum,Carollia_castanea,Carollia_perspicillata,Rhinophylla_alethina,Sturnira_luisi,Sturnira_perla,Artibeus_aequatorialis,Artibeus_lituratus,Chiroderma_gorgasi,Chiroderma_salvini,Chiroderma_villosum,Dermanura_ravus,Dermanura_rosenbergi,Enchisthenes_hartii,Mesophylla_macconnelli,Platyrrhinus_dorsalis,Platyrrhinus_helleri,Platyrrhinus_matapalensis,Uroderma_convexum,Vampyressa_thyone,Vampyriscus_nymphaea,Vampyrodes_major
CA59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,1,0,0,1,5,0,2,0,0,0,0,0,0,2,5,5,1,0
CA60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CA61,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,4,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0
CA62,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,4,18,0,7,0,1,0,0,0,0,8,4,1,0,0,1,0,16,1,0,0
CA63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1,0,3,2,0,0,0,5,2,0,1,1,0,2,1,1,1,0
CA64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,5,0,8,0,0,0,0,1,0,1,2,0,0,1,1,0,0,1,0,0
CR01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,17,1,0,0,0,0,0,0,0,14,35,0,0,10,0,0,0,1,0,0
CR02,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0
CR03,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,5,17,0,2,0,0,0,4,0,0,10,2,0,0,1,0,0,0,6,0,0
CR04,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CR05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,10,31,0,4,1,0,1,0,0,0,9,11,1,0,0,0,1,0,8,1,0
CR06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,11,9,0,0,0,11,1,0,0,5,13,10,0,0,0,0,0,2,0,0
