specie,sp_acronym,W,TL,SL,JL,JW,FA,Kipp,HWI,Trophic_Guild
Artibeus_aequatorialis,Art_aeq,51.065,81.74,30.65217391,23.35454545,17.31363636,63,42.934625,0.322164761,Fru
Artibeus_lituratus,Art_lit,66.72222222,88.89130435,32.3826087,22.67272727,18.69090909,68.5826087,48.80970588,0.324809234,Fru
Carollia_brevicaudum,Car_bre,18.79487179,58.02093023,23.3025641,18.096875,9.896875,41.05106383,25.956,0.285270604,Fru
Carollia_castanea,Car_cas,13.71323529,49.83333333,20.6546875,15.28333333,8.861111111,36.09733333,23.65505882,0.289182097,Fru
Carollia_perspicillata,Car_per,20.26851852,59.33388889,23.56931818,18.0987013,9.87012987,42.55826772,26.79104348,0.287654935,Fru
Chiroderma_gorgasi,Chi_gor,16.75,57.63571429,22.77857143,17.00769231,12.71538462,39.64285714,26.7415,0.314707086,Fru
Chiroderma_salvini,Chi_sal,30.75,70.6,27.3,22.95,15.25,51.15,40.1315,0.344161303,Fru
Chiroderma_villosum,Chi_vil,26,65.0625,25.0375,19.14285714,14.45714286,45.5375,30.78333333,0.3013272,Fru
Choeroniscus_sp.,Cho_sp,11.5,64.3,34.2,25.5,8.4,39.82,33.325,0.390638737,Nec
Dermanura_ravus,Der_rav,11.95679012,48.96337209,19.8,14.525,10.33823529,37.41294118,22.93966667,0.29315039,Fru
Dermanura_rosenbergi,Der_ros,11.38021978,47.42298851,20.62911392,14.6483871,10.15901639,37.23333333,23.91076923,0.30356637,Fru
Enchisthenes_hartii,Enc_har,16.95833333,55.61538462,20.9,15.825,12.38333333,40.18461538,28.89358333,0.333320976,Fru
Gardnerycteris_keenani,Gar_kee,23.6,58.61428571,22.78571429,17.02857143,11.62857143,49.92857143,35.5122,0.333799983,Ani
Glossophaga_soricina,Glo_sor,9.9,54.98,22.72,19.38,9.36,36.04,22.8356,0.312640324,Nec
Glyphonycteris_daviesi,Gly_dav,55,64.2,27.7,28.5,7.2,54,28.826,0.262386106,Ani
Glyphonycteris_sylvestris,Gly_syl,10,52.1,19.3,20,9.8,38.6,20.664,0.271070824,Ani
Lichonycteris_obscura,Lic_obs,6.52,45.35555556,19.85555556,17.72666667,8.04,30.84444444,25.37357143,0.363269113,Nec
Lonchophylla_chocoana,Lon_cho,20.83333333,66.1,28.96666667,25,10.7,44.8,28.889,0.323302766,Nec
Lonchophylla_concava,Lon_con,8.785714286,54.925,24.65,21.2,8.7125,34.3375,25.457875,0.343179921,Nec
Lonchophylla_robusta,Lon_rob,16.33333333,67.03333333,27.73333333,23.8,10.23333333,44.13333333,27.97966667,0.322803868,Nec
Lonchorhina_aurita,Lor_aur,17.5,61.3,21,16.8,9,51.2,31.858,0.311070752,Ani
Mesophylla_macconnelli,Mes_mac,8,42.51666667,18.13333333,14.38333333,10.51666667,31.33333333,20.0426,0.294048207,Fru
Micronycteris_giovanniae,Mic_gio,10,53.2,22,17.7,5.2,39.5,16.837,0.22844079,Ani
Micronycteris_hirsuta,Mic_hir,16.05555556,60.83846154,24.66923077,19.53636364,11.90909091,44.82307692,20.36116667,0.235340279,Ani
Micronycteris_megalotis,Mic_meg,6.5625,44.42105263,18.39473684,14.51111111,8.255555556,33.55555556,14.443375,0.225679501,Ani
Phylloderma_stenops,Phd_ste,57,98.6,32.9,23.1,10,73.4,47.116,0.320958051,Omn
Phyllostomus_discolor,Phs_dis,43,81.1,32.1,25.1,16.6,61.8,35.958,0.330456839,Omn
Phyllostomus_elongatus,Phs_elo,53,81,31.35,25.1,15.25,62.15,42.236,0.341143901,Omn
Platyrrhinus_dorsalis,Pla_dor,33.48148148,73.03,28.61724138,22.59655172,16.32068966,50.02,35.68766667,0.318758203,Fru
Platyrrhinus_helleri,Pla_hel,16.625,56.84,23.2,17.025,11.975,38.74,29.248,0.342465695,Fru
Platyrrhinus_matapalensis,Pla_mat,16.5,56.83333333,23.28888889,17.2625,12.525,39.32222222,27.88725,0.314520315,Fru
Rhinophylla_alethina,Rhi_ale,13.60810811,50.309375,19.4516129,14.21111111,9.222222222,34.86875,27.13188889,0.318663514,Fru
Sturnira_luisi,Stu_bak,23.24242424,61.52105263,24.05263158,16.9375,12.9516129,43.19473684,30.47625,0.318985797,Fru
Sturnira_perla,Stu_per,21.5,63.1,22.53333333,16.53333333,14.93333333,43.2,30.051,0.311248874,Fru
Tonatia_bakeri,Ton_bak,33.5,74.81666667,29.74166667,22.88181818,14.02727273,60.15833333,30.4784,0.252714729,Ani
Trachops_cirrhosus,Tra_cir,30.5,74.28333333,28.05,22.41666667,12.43333333,57.14285714,27.07175,0.239542662,Ani
Trinycteris_nicefori,Tri_nic,10.75,52.225,21.35,18.35,9.65,38.925,20.77633333,0.260900771,Ani
Uroderma_convexum,Uro_con,17.63888889,59.78333333,23.33333333,16.67058824,12.73529412,41.67777778,29.78769231,0.316554371,Fru
Vampyressa_thyone,Vre_thy,8.375,44.39333333,18.67333333,13.87777778,10.2,30.8,21.03035714,0.311047999,Fru
Vampyriscus_nymphaea,Vri_nym,14.5,53.37777778,21.1962963,16.12916667,11.86086957,36.98888889,25.17866667,0.307517529,Fru
Vampyrodes_major,Vro_maj,42.625,81.575,29.825,23.125,18.2,56.375,41.46066667,0.327204696,Fru
Vampyrum_spectrum,Vru_spe,160,140.1,52.1,34.25,23.2,104.8,39.4275,0.200383046,Car
