Plot_ID,Max_tree_height,Max_tree_DBH,Number_stems,AGB_all,AGB_wild,AGB_dbh10,Plot_ID,AGC_all,AGC_wild,AGC_dbh10,AGB_Chave_all,AGB_Chave_wild,AGB_Chave_dbh10,basal_area_wild,sr_all,sr_wild,sr_dbh10,sr_rar_all,sr_rar_wild,sr_rar_dbh10
CA59,10.32,13.10801218,8,2.78757636,1.135715083,0.921352928,CA59,1.315762504,0.536058984,0.434698902,2.963818154,1.245959249,0.977180655,0.369459732,5,4,3,2.812570992,3.584373993,3.5
CA60,17.02,38.64285282,10,22.89547604,22.81814609,22.68901478,CA60,10.83229318,10.74600278,10.63063019,17.49436231,17.44890271,17.31701801,2.852707387,7,6,5,10.84090909,7.775,6.0625
CA61,12.02,23.72047275,11,12.65336125,4.732821144,4.704483595,CA61,5.973174978,2.283516042,2.239463319,11.11160499,5.149392004,5.073065835,1.497740635,8,3,3,6.447645446,1.904778791,2.142858917
CA62,14.26,27.40013815,7,13.07772447,8.706743518,8.706743518,CA62,6.152559782,4.125851134,4.071204766,11.79913207,7.831022102,7.831022102,1.784474104,10,6,6,11.8423913,12.71428571,12.71428571
CA63,9,12.34247626,4,11.46518859,0.709519795,0.625190624,CA63,5.405749552,0.338241065,0.293361132,10.85055313,0.618689535,0.556192363,0.199607524,4,1,1,1,1,1
CA64,0,0,0,0.170410762,0,0,CA64,0.080796861,0,0,0.104636304,0,0,0,1,0,0,1,0,0
CR01,20.3,46.40962061,157,50.78292398,50.25192858,45.92815826,CR01,23.95849732,23.75937994,21.75644266,58.52802607,58.31750492,55.1010647,13.80237173,21,20,18,8.993120918,8.575622722,8.932322628
CR02,22.68,38.46459914,75,48.25308022,40.79876203,40.39213586,CR02,22.76081281,19.21374197,19.04778303,49.77650058,41.50684129,41.08212748,7.909014225,29,28,27,11.93445982,21.29382936,22.16276787
CR03,14.12,18.53838343,101,11.19530618,11.19530618,9.394889823,CR03,5.287240471,5.284053824,4.41267444,14.45156743,14.45156743,12.21235906,4.560115101,7,7,5,1.950072244,1.950072244,1.714990145
CR04,24.68,49.87283509,153,98.10543831,97.60983025,93.70120935,CR04,46.43287,45.89667014,43.95893956,88.14890411,87.64502148,84.73392193,15.81633854,48,46,39,31.47946094,30.3551159,32.23275864
CR05,19.08,38.77654309,105,47.00866055,42.84161094,41.00428857,CR05,22.20553222,20.20158165,19.3822563,46.78442907,42.30086865,41.00205442,10.63165244,28,26,21,10.35985777,13.03395988,10.23902644
CR06,30.18,61.62484602,130,174.2044502,169.1034098,167.1477311,CR06,81.92913889,79.33290251,78.64621863,168.4889656,162.3497392,160.6709272,22.6868627,49,48,43,27.03716945,45.30456925,61.93870192
CR07,29.58,47.03987471,149,108.8982272,104.6958027,101.7086983,CR07,51.41076985,49.11734455,47.67923148,105.4857654,101.6022639,99.34045175,17.7918172,21,19,19,7.035122552,6.227121199,6.513982988
CR08,29.2,62.71346675,138,167.0855513,165.4240061,162.5021383,CR08,78.52776973,77.49689417,76.50773886,175.6228116,173.8242802,171.6412727,25.39068624,41,40,36,21.30296495,24.35888162,25.66960758
CR09,26.24,48.8542426,119,58.5745976,51.72222441,48.4726328,CR09,27.56225345,24.32971847,22.85561728,64.10609766,56.04594136,52.98632329,10.53146114,21,19,16,6.118524831,7.864475902,6.857180386
CR10,27.76,76.00609882,130,170.7983724,168.6574827,165.2080069,CR10,80.44356059,79.50572413,78.08935631,177.7915895,175.6487332,172.8045377,26.14174574,50,48,35,36.02956239,37.67000988,28.3488956
CR11,28.94,51.01238545,171,94.23183823,93.85531989,89.98039527,CR11,44.47003718,44.47424512,42.30211754,83.96874071,83.59454284,80.8987366,16.27124227,47,45,39,27.39995726,25.0311999,25.95143769
CR12,21.12,36.47197757,72,51.95116012,50.2378282,47.78174572,CR12,24.39907194,23.54786623,22.48008431,45.66284495,44.29291986,42.24527027,8.15620848,33,31,27,26.92348373,26.7916695,26.26574166
CR13,16.36,30.55140868,21,17.0283351,11.58908761,11.38872651,CR13,8.020827709,5.472408429,5.336424827,19.36645879,13.77221241,13.52241574,3.129069993,12,10,9,1.397419923,10.46590909,9.143518519
CR14,29.72,53.69892316,200,168.0342594,168.0342594,162.7991851,CR14,79.37552288,78.88502087,76.6135724,186.1096372,186.1096372,182.2965447,28.17106179,80,80,60,75.29817725,75.29817725,57.94353232
CR16,16.14,30.9970429,85,23.64868649,22.0126973,20.06599522,CR16,11.0582853,10.37793227,9.439866702,24.63139874,22.7883517,21.26705593,5.651856862,21,20,17,8.890453945,11.66668948,10.75811197
CR17,23.84,40.06888232,130,62.35504886,61.51017183,59.34792196,CR17,29.39889107,29.06329429,27.96396511,71.65872794,70.79263145,69.00845185,13.4937834,43,42,31,27.21019125,30.83520875,20.47517284
CR18,28.56,53.10686627,95,88.06753678,86.26249171,84.16828988,CR18,41.46943928,40.70924101,39.50303201,90.93296535,89.07139495,86.81002827,12.78767503,41,40,33,26.91144773,35.61026775,33.21506734
OG28,37.26,100.8342909,236,411.4047944,411.4047944,404.6944555,OG28,194.0413058,193.6601307,190.3995042,395.1632007,395.1632007,390.5250647,46.18308436,63,63,56,34.38046439,34.38046439,37.65770182
OG37,33.96,105.7935631,195,482.5621131,482.5621131,477.2435106,OG37,226.4337114,227.6329149,224.6606524,417.5831115,417.5831115,414.8613985,48.18186714,66,66,54,52.8182424,52.8182424,43.52966465
OG38,27.56,62.57977648,148,167.7737005,167.7737005,164.0085672,OG38,78.70472437,79.02666401,77.36273024,148.5404829,148.5404829,145.6061842,22.37226946,64,64,53,63.33167727,63.33167727,57.44419862
OG39,32.98,71.6388835,169,331.3219719,331.3219719,328.3539005,OG39,155.4673056,155.8729671,154.7233735,277.9774603,277.9774603,275.8206702,38.07223953,64,64,57,56.42703899,56.42703899,58.53714286
OG40,38.68,114.6871489,199,568.3411123,568.3411123,563.9639054,OG40,266.4400424,268.596053,265.3372086,462.4956311,462.4956311,459.4253312,49.26581158,73,73,61,63.82125856,63.82125856,65.71710526
OG41,39.74,118.0803351,149,554.0874229,554.0874229,550.5309353,OG41,261.07986,259.7253391,259.1805812,520.8736307,520.8736307,518.446431,51.21741475,68,68,57,89.40058725,89.40058725,95.4137931
OG42,42.3,89.04408277,203,269.0316384,268.9615167,265.0630041,OG42,127.9153318,127.9846692,125.0803879,318.1285855,318.0127275,315.2929775,35.21305103,90,89,69,99.76243781,97.30078125,67.84392099
OG43,36.62,129.8259798,231,506.1701939,506.1701939,495.154783,OG43,237.9153807,238.7413488,232.1850712,476.3940708,476.3940708,470.5290669,64.875761,76,76,62,56.85520966,56.85520966,56.02481199
OG44,34.78,99.44645864,198,387.6716635,387.2873576,381.9610245,OG44,182.2385173,182.5943923,180.2508095,326.1194852,325.6272016,321.4548298,39.46104662,85,84,76,94.15538194,91.72493655,135.112782
OG45,31.28,86.79681308,187,325.7296576,325.7296576,322.3714546,OG45,153.2856748,153.4106132,152.4527103,299.6087379,299.6087379,295.9248558,38.93990145,90,90,71,140.6637701,140.6637701,134.0242537
OG46,33.96,86.30024924,155,300.6303053,300.6303053,297.9593235,OG46,140.8238717,141.504631,140.7605275,266.7460376,266.7460376,263.2667828,35.63244854,72,72,56,98.43498168,98.43498168,73.09375
OG47,33.74,58.88737868,158,171.0831043,171.0831043,167.9661621,OG47,80.32989918,80.47320984,79.22418517,163.5812936,163.5812936,161.2520454,23.45919869,71,71,63,77.5476122,77.5476122,90.00418871
OG48,39.48,106.697564,161,420.4535835,420.4535835,416.9278033,OG48,197.5947117,198.0518876,195.3889934,394.6177823,394.6177823,392.2059847,41.83173107,61,61,54,50.8913453,50.8913453,48.70402245
OG49,37.04,91.03670434,139,324.1274463,324.1274463,322.9784574,OG49,153.1304924,152.5034956,153.0153349,302.8574538,302.8574538,300.8325049,34.70803097,61,61,53,61.2465035,61.2465035,57.50862069
OG50,30.2,74.9302105,200,191.4274751,191.4274751,188.326768,OG50,90.00897367,90.28279267,88.73964358,181.8224947,181.8224947,179.2476556,28.94261568,78,78,64,67.99594654,67.99594654,57.8478129
OG51,38.24,117.2336301,161,429.8627213,429.8627213,426.8596536,OG51,200.6925351,202.1184193,200.5962201,430.0826498,430.0826498,428.0442842,43.07328773,50,50,43,34.01843891,34.01843891,30.24869869
OG52,36.4,84.03388093,143,254.1117157,254.1117157,251.4531577,OG52,120.8431333,120.1975426,118.8739611,271.880456,271.880456,269.3163364,30.75147998,64,64,55,83.77564103,83.77564103,82.99090909
PA53,10.16,11.75201092,9,0.841213518,0.841213518,0.484613155,PA53,0.399212591,0.400854534,0.231164549,1.006773564,1.006773564,0.632026865,0.322621984,4,4,1,4.416666667,4.416666667,1
PA54,16.34,30.65326793,7,9.20964181,8.693402568,8.693402568,PA54,4.368859591,4.101713572,4.097202746,8.688068668,8.37924832,8.37924832,1.819972371,5,3,3,7.083333333,2.704312668,2.704312668
PA55,13.85,17.03755105,2,1.708513739,1.364072974,1.364072974,PA55,0.807417185,0.63306805,0.649766271,2.043675362,1.811445192,1.811445192,0.381475304,3,2,2,3.05,2.125,2.125
PA56,9.1,12.87246267,11,1.238515463,1.238515463,1.11469904,PA56,0.588595246,0.582927244,0.535595216,1.20498168,1.20498168,1.116293153,0.461551635,5,5,4,5.090909091,5.090909091,4.416666667
PA57,21.6,24.10881114,20,13.04157154,13.04157154,13.04157154,PA57,6.16792991,6.144354071,6.1394628,12.19849623,12.19849623,12.19849623,2.039713966,5,5,5,4.567040349,4.567040349,4.567040349
PA58,21.84,36.16003361,7,21.04557469,21.04557469,21.04557469,PA58,9.842397693,9.838893176,9.921319992,17.00445235,17.00445235,17.00445235,2.39961007,6,6,6,12.71428571,12.71428571,12.71428571
