"Census","Plot","Treatment","Date","Morphotype","Total","Genus","plant_species","Source","DispersalSyndrome","DS_level","DS_source"
1,"CR06","C","07/07/22","M11",2,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR06","C","07/07/22","M12",2,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR06","C","07/07/22","M13",7,"Coussapoa","Coussapoa_contorta","blast.sebas.class","","",""
1,"CR06","C","07/07/22","M14",4,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR06","C","07/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR06","C","07/07/22","M16",1,"Saurauia","Saurauia_herthae","blast.sebas.class","zoochory","genus","Pool 1998"
1,"CR06","C","07/07/22","M16",1,"Saurauia","Saurauia_herthae","blast.sebas.class","zoochory","genus","Pool 1999"
1,"CR06","C","07/07/22","M16",1,"Saurauia","Saurauia_herthae","blast.sebas.class","zoochory","genus","Pool 2000"
1,"CR06","CF","07/07/22","M3",1,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR06","CF","07/07/22","M10",1,"Naucleopsis","Naucleopsis_naga","blast.sebas.class","","",""
1,"CR06","CF","07/07/22","M11",1,"Hieronyma","Hieronyma_macrocarpa","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CR06","D","07/07/22","M3",1,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR06","D","07/07/22","M7",2,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR06","D","07/07/22","M12",19,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR06","FD","07/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR06","FD","07/07/22","M9",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","C","07/07/22","M2",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","C","07/07/22","M3",5,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"PR23","C","07/07/22","M4",6,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","C","07/07/22","M5",8,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","C","07/07/22","M6",2,"Piptocoma","Piptocoma_discolor","blast.sebas.class","anemochory","species","TRY"
1,"PR23","CF","07/07/22","M1",9,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","D","07/07/22","M4",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","D","07/07/22","M7",6,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PR23","D","07/07/22","M8",5,"Quararibea","Quararibea_casasecae","blast.sebas.class","","",""
1,"PR23","D","07/07/22","M9",5,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","FD","07/07/22","M1",13,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR23","FD","07/07/22","M2",3,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR26","CF","07/07/22","M1",13,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR26","CF","07/07/22","M7",11,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PR26","CF","07/07/22","M12",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"PR26","CF","07/07/22","M14",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"PR26","CF","07/07/22","M18",1,"Piptocoma","Piptocoma_discolor","blast.sebas.class","anemochory","species","TRY"
1,"PR26","FD","07/07/22","M1",36,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR26","FD","07/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PR26","FD","07/07/22","M14",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"PR26","FD","07/07/22","M17",3,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"CR04","C","08/07/22","M21",3,"Wettinia","Wettinia_quinaria","blast.sebas.class","zoochory","species","TRY"
1,"CR04","D","08/07/22","M12",2,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR04","D","08/07/22","M13",1,"Coussapoa","Coussapoa_contorta","blast.sebas.class","","",""
1,"CR04","FD","08/07/22","M19",1,"Saurauia","Saurauia_herthae","blast.sebas.class","zoochory","genus","Pool 1998"
1,"CR04","FD","08/07/22","M19",1,"Saurauia","Saurauia_herthae","blast.sebas.class","zoochory","genus","Pool 1999"
1,"CR04","FD","08/07/22","M19",1,"Saurauia","Saurauia_herthae","blast.sebas.class","zoochory","genus","Pool 2000"
1,"CR04","FD","08/07/22","M20",1,"Piptocoma","Piptocoma_discolor","blast.sebas.class","anemochory","species","TRY"
1,"OG38","D","08/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"OG38","D","08/07/22","M17",3,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"OG38","D","08/07/22","M21",3,"Wettinia","Wettinia_quinaria","blast.sebas.class","zoochory","species","TRY"
1,"OG38","FD","08/07/22","M22",1,"Ficus","Ficus_pertusa","blast.sebas.class","zoochory","species","field_observation"
1,"OG39","C","08/07/22","M13",9,"Coussapoa","Coussapoa_contorta","blast.sebas.class","","",""
1,"OG39","C","08/07/22","M26",2,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
1,"OG39","C","08/07/22","M27",2,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"OG39","D","08/07/22","M21",2,"Wettinia","Wettinia_quinaria","blast.sebas.class","zoochory","species","TRY"
1,"OG39","D","08/07/22","M25",2,"Piper","Piper_grande","blast.sebas.class","zoochory","genus","field_observation"
1,"OG39","D","08/07/22","M25",2,"Piper","Piper_grande","blast.sebas.class","zoochory","species","field_observation"
1,"OG39","FD","08/07/22","M12",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"PR21","C","08/07/22","M21",2,"Wettinia","Wettinia_quinaria","blast.sebas.class","zoochory","species","TRY"
1,"PR21","C","08/07/22","M28",1,"Miconia","Miconia_affinis","blast.sebas.class","zoochory","species","TRY"
1,"PR21","CF","08/07/22","M21",1,"Wettinia","Wettinia_quinaria","blast.sebas.class","zoochory","species","TRY"
1,"PR21","D","08/07/22","M27",4,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"PR21","FD","08/07/22","M28",2,"Miconia","Miconia_affinis","blast.sebas.class","zoochory","species","TRY"
1,"CA62","C","11/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA62","C","11/07/22","M30",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CA62","C","11/07/22","M32",45,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
1,"CA62","CF","11/07/22","M15",15,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA62","CF","11/07/22","M30",8,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CA62","CF","11/07/22","M33",1,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"CA62","D","11/07/22","M15",16,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA62","D","11/07/22","M30",4,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CA62","FD","11/07/22","M15",4,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA62","FD","11/07/22","M31",6,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CA62","FD","11/07/22","M32",2,"Dendropanax","Dendropanax_macrophyllum","blast.sebas.class","zoochory","genus","Figueroa-Esquivel"
1,"CR05","C","11/07/22","M3",17,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR05","C","11/07/22","M24",26,"Vismia","Vismia_baccifera","blast.sebas.class","zoochory","species","field_observation"
1,"CR05","CF","11/07/22","M3",6,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR05","D","11/07/22","M3",23,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR05","D","11/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR05","D","11/07/22","M24",27,"Vismia","Vismia_baccifera","blast.sebas.class","zoochory","species","field_observation"
1,"CR05","FD","11/07/22","M3",4,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR05","FD","11/07/22","M24",4,"Vismia","Vismia_baccifera","blast.sebas.class","zoochory","species","field_observation"
1,"CR05","FD","11/07/22","M29",8,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
1,"PA57","C","11/07/22","M15",6,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"PA57","CF","11/07/22","M30",4,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"PA57","D","11/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"PA57","D","11/07/22","M30",2,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"PA57","FD","11/07/22","M15",5,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"PA57","FD","11/07/22","M29",3,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
1,"PR22","C","11/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"PR22","C","11/07/22","M24",33,"Vismia","Vismia_baccifera","blast.sebas.class","zoochory","species","field_observation"
1,"PR22","C","11/07/22","M36",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR22","CF","11/07/22","M1",10,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR22","CF","11/07/22","M3",9,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"PR22","CF","11/07/22","M34",2,"Ficus","Ficus_brevibracteata","blast.sebas.class","zoochory","species","field_observation"
1,"PR22","CF","11/07/22","M35",1,"Sapium","Sapium_laurifolium","blast.sebas.class","zoochory","genus","TRY/fruit_morphology"
1,"PR22","D","11/07/22","M1",5,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR22","D","11/07/22","M3",3,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"PR22","D","11/07/22","M8",1,"Quararibea","Quararibea_casasecae","blast.sebas.class","","",""
1,"PR22","D","11/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"PR22","D","11/07/22","M29",8,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
1,"PR22","D","11/07/22","M35",1,"Sapium","Sapium_laurifolium","blast.sebas.class","zoochory","genus","TRY/fruit_morphology"
1,"PR22","FD","11/07/22","M1",7,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR22","FD","11/07/22","M3",4,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"PR22","FD","11/07/22","M13",7,"Coussapoa","Coussapoa_contorta","blast.sebas.class","","",""
1,"PR22","FD","11/07/22","M15",8,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"PR22","FD","11/07/22","M29",1,"Annona","Annona_papilionella","blast.sebas.class","zoochory","species","TRY"
