Secuencia,Plot,Number,Code,Family,Genus,Species
1,PR21,1,PR21-1,Annonaceae,Annona,Annona_papilionella
2,PR21,2,PR21-2,Rubiaceae,Tournefortiopsis,Tournefortiopsis_crispiflora
3,PR21,3,PR21-3,Staphyleaceae,Turpinia,Turpinia_occidentalis
4,PR21,4,PR21-4,Cordiaceae,Cordia,Cordia_lucidula
5,PR21,5,PR21-5,Rubiaceae,Palicourea,Palicourea_chimboracensis
6,PR21,6,PR21-6,Cordiaceae,Cordia,Cordia_lucidula
7,PR21,7,PR21-7,Arecaceae,Pholidostachys,Pholidostachys_dactyloides
8,PR21,8,PR21-8,Fabaceae,Inga,Inga_chocoensis
9,PR21,9,PR21-9,Malvaceae,Phragmotheca,Phragmotheca_siderosa
10,PR21,10,PR21-10,Arecaceae,Wettinia,Wettinia_quinaria
11,PR21,11,PR21-11,Arecaceae,Wettinia,Wettinia_quinaria
12,PR21,12,PR21-12,Arecaceae,Wettinia,Wettinia_quinaria
13,PR21,13,PR21-13,Myrtaceae,Calyptranthes,Calyptranthes_speciosa
14,PR21,14,PR21-14,Euphorbiaceae,Sapium,Sapium_laurifolium
15,PR21,15,PR21-15,Malvaceae,Sterculia,Sterculia_corrugata
16,PR21,16,PR21-16,Staphyleaceae,Turpinia,Turpinia_occidentalis
17,PR21,17,PR21-17,Annonaceae,Annona,Annona_papilionella
18,PR21,18,PR21-18,Arecaceae,Wettinia,Wettinia_quinaria
19,PR21,19,PR21-19,Malvaceae,Apeiba,Apeiba_membranacea
20,PR21,20,PR21-20,Phyllanthaceae,Hieronyma,Hieronyma_macrocarpa
21,PR21,21,PR21-21,Arecaceae,Wettinia,Wettinia_quinaria
22,PR21,22,PR21-22,Fabaceae,Inga,Inga_venusta
23,PR21,23,PR21-23,Annonaceae,Guatteria,Guatteria_pittieri
24,PR21,24,PR21-24,Malvaceae,Apeiba,Apeiba_membranacea
25,PR21,25,PR21-25,Arecaceae,Wettinia,Wettinia_quinaria
26,PR21,26,PR21-26,Lecythidaceae,Gustavia,Gustavia_dodsonii
27,PR21,27,PR21-27,Arecaceae,Wettinia,Wettinia_quinaria
28,PR21,28,PR21-28,Arecaceae,Wettinia,Wettinia_quinaria
29,PR21,29,PR21-29,Arecaceae,Wettinia,Wettinia_quinaria
30,PR21,30,PR21-30,Arecaceae,Wettinia,Wettinia_quinaria
31,PR21,31,PR21-31,Myristicaceae,Otoba,Otoba_novogranatensis
32,PR21,32,PR21-32,Arecaceae,Wettinia,Wettinia_quinaria
33,PR21,33,PR21-33,Arecaceae,Wettinia,Wettinia_quinaria
34,PR21,34,PR21-34,Arecaceae,Wettinia,Wettinia_quinaria
35,PR21,35,PR21-35,Arecaceae,Wettinia,Wettinia_quinaria
36,PR21,36,PR21-36,Arecaceae,Wettinia,Wettinia_quinaria
37,PR21,37,PR21-37,Staphyleaceae,Turpinia,Turpinia_occidentalis
38,PR21,38,PR21-38,Melastomataceae,Miconia,Miconia_centronioides
39,PR21,39,PR21-39,Arecaceae,Wettinia,Wettinia_quinaria
40,PR21,40,PR21-40,Coardiaceae,Cordia,Cordia_bicolor
41,PR21,41,PR21-41,Arecaceae,Wettinia,Wettinia_quinaria
42,PR21,42,PR21-42,Arecaceae,Wettinia,Wettinia_quinaria
43,PR21,43,PR21-43,Arecaceae,Wettinia,Wettinia_quinaria
44,PR21,44,PR21-44,Rubiaceae,Tournefortiopsis,Tournefortiopsis_crispiflora
45,PR21,45,PR21-45,NA,NA,NA
46,PR21,46,PR21-46,Myristicaceae,Virola,Virola_reidii
47,PR21,47,PR21-47,Melastomataceae,Miconia,Miconia_centronioides
48,PR21,48,PR21-48,Arecaceae,Wettinia,Wettinia_quinaria
49,PR21,49,PR21-49,Arecaceae,Wettinia,Wettinia_quinaria
50,PR21,50,PR21-50,Arecaceae,Wettinia,Wettinia_quinaria
51,PR21,51,PR21-51,Lauraceae,Nectandra,Nectandra_sp.1
52,PR21,52,PR21-52,Fabaceae,Inga,Inga_chocoensis
53,PR21,53,PR21-53,Fabaceae,Inga,Inga_nobilis
54,PR21,54,PR21-54,Euphorbiaceae,Sapium,Sapium_laurifolium
55,PR21,55,PR21-55,Arecaceae,Wettinia,Wettinia_quinaria
56,PR21,56,PR21-56,Arecaceae,Wettinia,Wettinia_quinaria
57,PR21,57,PR21-57,Arecaceae,Wettinia,Wettinia_quinaria
58,PR21,58,PR21-58,Lauraceae,Nectandra,Nectandra_guadaripo
59,PR21,59,PR21-59,Arecaceae,Wettinia,Wettinia_quinaria
60,PR21,60,PR21-60,Arecaceae,Wettinia,Wettinia_quinaria
61,PR21,61,PR21-61,Rubiaceae,Palicourea,Palicourea_palenquensis
62,PR21,62,PR21-62,Arecaceae,Wettinia,Wettinia_quinaria
63,PR21,63,PR21-63,Rubiaceae,Palicourea,Palicourea_palenquensis
64,PR21,64,PR21-64,Burseraceae,Dacryodes,Dacryodes_cupularis
65,PR21,65,PR21-65,Arecaceae,Wettinia,Wettinia_quinaria
66,PR21,66,PR21-66,Malvaceae,Matisia,Matisia_'papelito'
67,PR21,67,PR21-67,Hypericaceae,Vismia,Vismia_baccifera
68,PR21,68,PR21-68,Melastomataceae,Miconia,Miconia_centronioides
69,PR21,69,PR21-69,Sapindaceae,Talisia,Talisia_macrophylla
70,PR21,70,PR21-70,Rubiaceae,Palicourea,Palicourea_chimboracensis
71,PR21,71,PR21-71,Arecaceae,Wettinia,Wettinia_quinaria
72,PR21,72,PR21-72,Arecaceae,Wettinia,Wettinia_quinaria
73,PR21,73,PR21-73,Salicaceae,Tetrathylacium,Tetrathylacium_macrophyllum
74,PR21,74,PR21-74,Euphorbiaceae,Sapium,Sapium_laurifolium
75,PR21,75,PR21-75,Violaceae,Leonia,Leonia_grandifolia
76,PR21,76,PR21-76,Arecaceae,Wettinia,Wettinia_quinaria
77,PR21,77,PR21-77,Arecaceae,Wettinia,Wettinia_quinaria
78,PR21,78,PR21-78,Arecaceae,Wettinia,Wettinia_quinaria
79,PR21,79,PR21-79,Arecaceae,Wettinia,Wettinia_quinaria
80,PR21,80,PR21-80,Arecaceae,Wettinia,Wettinia_quinaria
81,PR21,81,PR21-81,Chrysobalanaceae,Licania,Licania_sp.1
82,PR21,82,PR21-82,Urticaceae,Cecropia,Cecropia_hispidissima
83,PR21,83,PR21-83,Arecaceae,Wettinia,Wettinia_quinaria
84,PR21,84,PR21-84,Celastraceae,Maytenus,Maytenus_macrocarpa
85,PR21,85,PR21-85,Bignoniaceae,Handroanthus,Handroanthus_chrysanthus
86,PR21,86,PR21-86,Arecaceae,Wettinia,Wettinia_quinaria
87,PR21,87,PR21-87,Arecaceae,Wettinia,Wettinia_quinaria
88,PR21,88,PR21-88,Arecaceae,Wettinia,Wettinia_quinaria
89,PR21,89,PR21-89,Euphorbiaceae,Sapium,Sapium_laurifolium
90,PR21,90,PR21-90,Fabaceae,Inga,Inga_nobilis
91,PR21,91,PR21-91,Fabaceae,Inga,Inga_manabiensis
92,PR21,92,PR21-92,Euphorbiaceae,Alchornea,Alchornea_grandis
93,PR21,93,PR21-93,Arecaceae,Wettinia,Wettinia_quinaria
94,PR21,94,PR21-94,Melastomataceae,Miconia,Miconia_conocuatrecasii
95,PR21,95,PR21-95,Arecaceae,Wettinia,Wettinia_quinaria
96,PR21,96,PR21-96,Arecaceae,Wettinia,Wettinia_quinaria
97,PR21,97,PR21-97,Rubiaceae,Isertia,Isertia_pittieri
98,PR21,98,PR21-98,Arecaceae,Wettinia,Wettinia_quinaria
99,PR21,99,PR21-99,Arecaceae,Wettinia,Wettinia_quinaria
100,PR21,100,PR21-100,Arecaceae,Wettinia,Wettinia_quinaria
101,PR21,101,PR21-101,Lecythidaceae,Gustavia,Gustavia_dodsonii
102,PR21,102,PR21-102,Arecaceae,Wettinia,Wettinia_quinaria
103,PR21,103,PR21-103,Arecaceae,Wettinia,Wettinia_quinaria
104,PR21,104,PR21-104,Arecaceae,Wettinia,Wettinia_quinaria
105,PR21,105,PR21-105,Melastomataceae,Miconia,Miconia_conocuatrecasii
106,PR21,106,PR21-106,Melastomataceae,Miconia,Miconia_conocuatrecasii
107,PR21,107,PR21-107,Arecaceae,Wettinia,Wettinia_quinaria
108,PR21,108,PR21-108,NA,NA,NA
109,PR21,109,PR21-109,Rubiaceae,Tournefortiopsis,Tournefortiopsis_crispiflora
110,PR21,110,PR21-110,Myristicaceae,Virola,Virola_reidii
111,PR21,111,PR21-111,Arecaceae,Wettinia,Wettinia_quinaria
112,PR21,112,PR21-112,Myristicaceae,Virola,Virola_reidii
113,PR21,113,PR21-113,Staphyleaceae,Turpinia,Turpinia_occidentalis
114,PR21,114,PR21-114,Arecaceae,Wettinia,Wettinia_quinaria
115,PR21,115,PR21-115,Malvaceae,Apeiba,Apeiba_membranacea
116,PR21,116,PR21-116,Staphyleaceae,Turpinia,Turpinia_occidentalis
117,PR21,117,PR21-117,Staphyleaceae,Turpinia,Turpinia_occidentalis
118,PR21,118,PR21-118,Violaceae,Leonia,Leonia_grandifolia
119,PR21,119,PR21-119,Arecaceae,Wettinia,Wettinia_quinaria
120,PR21,120,PR21-120,Burseraceae,Protium,Protium_ecuadorense
121,PR21,121,PR21-121,Clusiaceae,Tovomita,Tovomita_weddelliana
122,PR21,122,PR21-122,Arecaceae,Wettinia,Wettinia_quinaria
123,PR21,123,PR21-123,Lecythidaceae,Gustavia,Gustavia_dodsonii
124,PR21,124,PR21-124,Arecaceae,Wettinia,Wettinia_quinaria
125,PR21,125,PR21-125,Annonaceae,Annona,Annona_papilionella
126,PR21,126,PR21-126,Cordiaceae,Cordia,Cordia_lucidula
127,PR21,127,PR21-127,Staphyleaceae,Turpinia,Turpinia_occidentalis
128,PR21,128,PR21-128,Metteniusaceae,Calatola,Calatola_costaricensis
129,PR21,129,PR21-129,Fabaceae,Andira,Andira_taurotesticulata
130,PR21,130,PR21-130,Cordiaceae,Cordia,Cordia_lucidula
131,PR21,131,PR21-131,Staphyleaceae,Turpinia,Turpinia_occidentalis
132,PR21,132,PR21-132,Arecaceae,Pholidostachys,Pholidostachys_dactyloides
133,PR21,133,PR21-133,Arecaceae,Wettinia,Wettinia_quinaria
134,PR21,134,PR21-134,Arecaceae,Wettinia,Wettinia_quinaria
135,PR21,135,PR21-135,Lecythidaceae,Eschweilera,Eschweilera_caudiculata
136,PR21,136,PR21-136,Chrysobalanaceae,Licania,Licania_glauca
137,PR21,137,PR21-137,Fabaceae,Inga,Inga_venusta
138,PR21,138,PR21-138,Arecaceae,Wettinia,Wettinia_quinaria
139,PR21,139,PR21-139,Chrysobalanaceae,Licania,Licania_glauca
140,PR21,140,PR21-140,Meliaceae,Carapa,Carapa_megistocarpa
141,PR21,141,PR21-141,Staphyleaceae,Turpinia,Turpinia_occidentalis
142,PR21,142,PR21-142,Arecaceae,Wettinia,Wettinia_quinaria
143,PR21,143,PR21-143,Fabaceae,Inga,Inga_venusta
144,PR21,144,PR21-144,Myristicaceae,Otoba,Otoba_novogranatensis
145,PR21,145,PR21-145,Malvaceae,Apeiba,Apeiba_membranacea
146,PR21,146,PR21-146,Boraginaceae,Cordia,Cordia_lucidula
147,PR21,147,PR21-147,Myristicaceae,Otoba,Otoba_novogranatensis
148,PR21,148,PR21-148,Malvaceae,Apeiba,Apeiba_membranacea
149,PR21,149,PR21-149,Staphyleaceae,Turpinia,Turpinia_occidentalis
150,PR21,150,PR21-150,Arecaceae,Pholidostachys,Pholidostachys_dactyloides
151,PR21,151,PR21-151,Rubiaceae,Tournefortiopsis,Tournefortiopsis_crispiflora
152,PR21,152,PR21-152,Myristicaceae,Otoba,Otoba_novogranatensis
153,PR21,153,PR21-153,Fabaceae,Inga,Inga_venusta
154,PR21,154,PR21-154,Arecaceae,Wettinia,Wettinia_quinaria
155,PR21,155,PR21-155,Fabaceae,Inga,Inga_chocoensis
156,PR21,156,PR21-156,Staphyleaceae,Turpinia,Turpinia_occidentalis
157,PR21,157,PR21-157,Myristicaceae,Virola,Virola_reidii
158,PR21,158,PR21-158,Myristicaceae,Otoba,Otoba_novogranatensis
159,PR21,159,PR21-159,Myristicaceae,Otoba,Otoba_novogranatensis
160,PR21,160,PR21-160,Fabaceae,Inga,Inga_jinicuil
161,PR21,161,PR21-161,Melastomataceae,Miconia,Miconia_multiplicata
162,PR21,162,PR21-162,Urticaceae,Pourouma,Pourouma_minor
163,PR21,163,PR21-163,Arecaceae,Wettinia,Wettinia_quinaria
164,PR21,164,PR21-164,Rubiaceae,Isertia,Isertia_pittieri
165,PR21,165,PR21-165,Fabaceae,Inga,Inga_nobilis
166,PR21,166,PR21-166,Lecythidaceae,Eschweilera,Eschweilera_caudiculata
167,PR21,167,PR21-167,Arecaceae,Wettinia,Wettinia_quinaria
168,PR21,168,PR21-168,Fabaceae,Inga,Inga_silanchensis
169,PR21,169,PR21-169,Malvaceae,Apeiba,Apeiba_membranacea
170,PR21,170,PR21-170,Chrysobalanaceae,Licania,Licania_celiae
171,PR21,171,PR21-171,Chrysobalanaceae,Licania,Licania_glauca
172,PR21,172,PR21-172,Fabaceae,Swartzia,Swartzia_PR21-172
173,PR21,173,PR21-173,Fabaceae,Ormosia,Ormosia_amazonica
174,PR21,174,PR21-174,Chrysobalanaceae,Licania,Licania_octandra
175,PR21,175,PR21-175,Euphorbiaceae,Sapium,Sapium_laurifolium
176,PR21,176,PR21-176,Fabaceae,Dussia,Dussia_lehmannii
177,PR21,177,PR21-177,Urticaceae,Pourouma,Pourouma_guianensis
178,PR21,178,PR21-178,Arecaceae,Welfia,Welfia_regia
179,PR21,179,PR21-179,Arecaceae,Wettinia,Wettinia_quinaria
180,PR21,180,PR21-180,Arecaceae,Wettinia,Wettinia_quinaria
181,PR21,181,PR21-181,Myristicaceae,Otoba,Otoba_novogranatensis
182,PR21,182,PR21-182,Arecaceae,Wettinia,Wettinia_quinaria
183,PR21,183,PR21-183,Arecaceae,Wettinia,Wettinia_quinaria
184,PR21,184,PR21-184,Arecaceae,Wettinia,Wettinia_quinaria
185,PR21,185,PR21-185,Rubiaceae,Palicourea,Palicourea_palenquensis
186,PR21,186,PR21-186,Fabaceae,Inga,Inga_silanchensis
187,PR21,187,PR21-187,Rubiaceae,Isertia,Isertia_pittieri
