Plot,Number,Stem,Circumference,Height
CA59,1,,28.4,10.3
CA59,2,,27.2,6.7
CA59,3,,67.1,13.5
CA59,4,,31.6,9.8
CA59,5,,40.5,10.1
CA59,6,A,56.1,7.3
CA59,6,B,34.2,6.9
CA59,7,,38,7
CA59,8,,36.5,6.2
CA59,9,,35.4,7.6
CA59,10,,69.1,5.1
CA59,11,,26.2,7.9
CA59,12,,31.3,7.5
CA59,13,,35.4,6
CA59,14,,71.8,8.4
CA59,15,,35.5,7
CA59,16,,34.2,5.9
CA59,17,,32.6,3.5
CA59,18,,50.2,3.9
CA59,19,,49.5,4.3
CA60,1,,161.8,25.1
CA60,2,,31.2,9.3
CA60,3,,167.6,19.5
CA60,4,,26.5,5.3
CA60,5,,40.8,6.5
CA60,6,,40.5,6.4
CA60,7,,107.1,12.5
CA60,8,,39.5,5.3
CA60,9,,47.8,7.9
CA60,10,,122.7,18.7
CA60,11,,29.1,5.2
CA61,1,,68.2,9.5
CA61,2,,107.6,9.1
CA61,3,,68.8,6.6
CA61,4,,,
CA61,5,,68.5,4.9
CA61,6,,44.6,8.5
CA61,7,,30.4,8
CA61,8,,58.1,7.9
CA61,9,A,81.8,9.7
CA61,9,B,72.4,9.5
CA61,9,C,40.1,9.1
CA61,10,A,75.2,13.2
CA61,10,B,64.3,11
CA61,10,C,70.2,10.9
CA61,11,,,
CA61,12,,75.1,7.2
CA61,13,,122.6,9
CA61,14,,38.8,11.4
CA61,15,,98.6,8.3
CA61,16,,61.2,7.2
CA61,17,,59.4,8.4
CA61,18,,61.4,9.6
CA61,19,,43.6,9.9
CA61,20,,71.2,6.7
CA61,21,,54.6,6.3
CA61,22,,73,13.6
CA61,23,,36.1,6
CA62,1,,129.4,13.5
CA62,2,A,55,10.1
CA62,2,B,43.2,10.2
CA62,3,,62.3,5.6
CA62,4,,67.2,8.7
CA62,5,,77,8.5
CA62,6,A,52.1,11.5
CA62,6,B,59.2,13.6
CA62,7,A,57.6,12.5
CA62,7,B,90.2,13.2
CA62,8,A,101.7,15.1
CA62,8,B,60.5,11.7
CA62,9,,80.5,13.5
CA62,10,,62.7,12.8
CA62,11,,95.3,15.9
CA62,12,,41.1,2.9
CA62,13,,35.3,3.1
CA62,14,,32.4,3
CA62,15,,30.2,2.8
CA62,16,,29.7,2.5
CA62,17,,40.2,2.3
CA62,18,,31.2,2.5
CA62,19,,44.1,4.7
CA62,20,,28.6,2.3
CA62,21,,38.2,2.5
CA62,22,A,34.5,2.1
CA62,22,B,30,2
CA62,23,,40.6,3.1
CA63,1,,64.8,10.3
CA63,2,,32.5,8.1
CA63,3,,47,9.6
CA63,4,,46.4,11.2
CA63,5,,29.2,7.1
CA63,6,,47.2,10.5
CA63,7,,60.3,11.7
CA63,8,,56.2,8.8
CA63,9,,49.8,10.5
CA63,10,A,40.4,4.6
CA63,10,B,31.2,2.9
CA63,10,C,33.5,3.5
CA63,11,,35.2,2.8
CA63,12,,30,3.7
CA63,13,,52.3,7.4
CA63,14,A,41.8,2.9
CA63,14,B,36.2,3.7
CA63,15,,42.1,4.1
CA63,16,,46.4,6.7
CA63,17,,28.3,2.9
CA63,18,,46.1,6.5
CA63,19,,31.4,3.9
CA63,20,,34.6,3.1
CA63,21,,45.3,7.4
CA63,22,,54.4,9.2
CA63,23,A,57,8.2
CA63,23,B,38.2,5.1
CA63,24,,48.5,6.9
CA63,25,A,33.2,4.2
CA63,25,B,30.6,3.5
CA63,26,A,35.2,3.7
CA63,26,B,31.6,3.4
CA63,27,,41.8,7.1
CA63,28,A,30,4.7
CA63,28,B,35.4,5.9
CA63,29,,34.1,3.2
CA63,30,,38.2,4.6
CA63,31,,41.4,5.9
CA63,32,,70.2,8.4
CA63,33,A,50.4,6.9
CA63,33,B,55.3,7.2
CA63,34,,32,2.7
CA63,35,,26.1,2.5
CA63,36,,35.5,3.2
CA63,37,,35,2.7
CA63,38,,29.6,2.3
CA63,39,,37.2,3.5
CA63,40,,51.4,7.3
CA63,41,,42.3,6.9
CA63,42,,33.6,4.4
CA63,43,A,33.2,37
CA63,43,B,37.8,2.9
CA63,44,,46.8,7.1
CA63,45,,35.4,4.9
CA63,46,,42.2,6.5
CA63,47,,36.8,3.9
CA63,48,,67.2,8.5
CA63,49,,34,4.2
CA63,50,,26.2,2.7
CA63,51,,30,3.5
CA63,52,,76.8,10.9
CA63,53,,51.1,7.2
CA63,54,A,45.4,6.1
CA63,54,B,29.6,3.2
CA63,55,A,44.3,6.3
CA63,55,B,30.8,2.9
CA63,55,C,28.2,2.5
CA63,56,,38.7,3.7
CA63,57,A,42.9,5.4
CA63,57,B,34.2,3.3
CA63,58,,31.6,2.5
CA63,59,,29.1,6.1
CA63,60,,52.4,6.8
CA63,61,,57.5,5.9
CA63,62,,34.1,2.5
CA63,63,,32.3,3.4
CA63,64,,25.2,2.9
CA63,65,,50.8,10.2
CA63,66,A,43.1,8.3
CA63,66,B,30.4,4.8
