sp_ageF,plot,subplot,tag_number,species,status,index,toughness_N,thickness_mm,SLA,LDMC
Aegiphila_sp_old_PR,PR21,FU1,1038,Aegiphila_sp,alive,3615,NA,NA,NA,NA
Aegiphila_sp_young_CR,CR09,FD3,1816,Aegiphila_sp,sapling,3893,1.222777778,0.174416667,30.31779438,166.7690055
Aegiphila_sp_young_CR,CR09,FU1,1760,Aegiphila_sp,alive,3907,1.222777778,0.174416667,30.31779438,166.7690055
Aegiphila_sp_young_CR,CR09,FD2,1814,Aegiphila_sp,alive,3901,1.222777778,0.174416667,30.31779438,166.7690055
Aegiphila_sp_young_CR,CR09,FU1,2183,Aegiphila_sp,alive,3908,1.222777778,0.174416667,30.31779438,166.7690055
Alchorneopsis_floribunda_young_CR,CR13,FU1,1355,Alchorneopsis_floribunda,alive,3937,2.548472222,0.131145833,33.56274704,246.329599
Alchorneopsis_floribunda_young_CR,CR09,FU2,1776,Alchorneopsis_floribunda,alive,4019,2.548472222,0.131145833,33.56274704,246.329599
Alchorneopsis_floribunda_young_CR,CR13,UU2,1361,Alchorneopsis_floribunda,alive,3862,2.548472222,0.131145833,33.56274704,246.329599
Alchorneopsis_floribunda_young_CR,CR09,FU2,1770,Alchorneopsis_floribunda,alive,4017,2.548472222,0.131145833,33.56274704,246.329599
Alchorneopsis_floribunda_young_CR,CR13,FU2,1356,Alchorneopsis_floribunda,alive,3865,2.548472222,0.131145833,33.56274704,246.329599
Allophylus_angustatus_OG,OG39,UD2,7107,Allophylus_angustatus,alive,3646,NA,NA,NA,NA
Allophylus_angustatus_OG,OG39,UD2,7105,Allophylus_angustatus,alive,3645,NA,NA,NA,NA
Allophylus_angustatus_OG,OG39,UD2,7106,Allophylus_angustatus,alive,3647,NA,NA,NA,NA
Allophylus_angustatus_OG,OG44,UU4,7453,Allophylus_angustatus,alive,4894,NA,NA,NA,NA
Allophylus_angustatus_OG,OG52,UD2,7342,Allophylus_angustatus,alive,4545,NA,NA,NA,NA
Allophylus_angustatus_old_PR,PR24,UU3,7425,Allophylus_angustatus,alive,4935,NA,NA,NA,NA
