Plot_ID,RegTime,VerticalVH,Treatment,Legacy
CA59,0,1.263654432,active cacao,cacao
CA60,0,1.359811239,active cacao,cacao
CA61,0,0.600166073,active cacao,cacao
CA62,0,1.329297309,active cacao,cacao
CA63,0,0.655993054,active cacao,cacao
CA64,0,1.201957015,active cacao,cacao
CR01,6,1.418910811,cacao regeneration,cacao
CR02,8,1.585347391,cacao regeneration,cacao
CR03,5,1.66187336,cacao regeneration,cacao
CR04,21,1.678686303,cacao regeneration,cacao
CR05,12,1.544394343,cacao regeneration,cacao
CR06,33,1.896236546,cacao regeneration,cacao
CR07,23,1.592610422,cacao regeneration,cacao
CR08,27,1.714719567,cacao regeneration,cacao
CR09,6,1.568565198,cacao regeneration,cacao
CR10,24,1.746986774,cacao regeneration,cacao
CR11,23,1.715221176,cacao regeneration,cacao
CR12,15,1.791410048,cacao regeneration,cacao
CR13,1,1.442341074,cacao regeneration,cacao
CR14,38,1.937764031,cacao regeneration,cacao
CR16,8,1.472184258,cacao regeneration,cacao
CR17,9,1.630824114,cacao regeneration,cacao
CR18,10,1.554712817,cacao regeneration,cacao
OG28,55,1.757592234,old-growth forest,old-growth
OG37,55,1.924960915,old-growth forest,old-growth
OG38,55,1.7842487,old-growth forest,old-growth
OG39,55,1.883757237,old-growth forest,old-growth
OG40,55,1.814715111,old-growth forest,old-growth
OG41,55,1.931368284,old-growth forest,old-growth
OG42,55,1.799954089,old-growth forest,old-growth
OG43,55,1.889782919,old-growth forest,old-growth
OG44,55,1.943601218,old-growth forest,old-growth
OG45,55,1.855436233,old-growth forest,old-growth
OG46,55,1.850355458,old-growth forest,old-growth
OG47,55,1.933310929,old-growth forest,old-growth
OG48,55,1.830056977,old-growth forest,old-growth
OG49,55,1.897939386,old-growth forest,old-growth
OG50,55,1.834539054,old-growth forest,old-growth
OG51,55,1.869189266,old-growth forest,old-growth
OG52,55,1.892563007,old-growth forest,old-growth
PA53,0,1.321049386,active pasture,pasture
PA54,0,0,active pasture,pasture
PA55,0,0.657924647,active pasture,pasture
PA56,0,0.577848501,active pasture,pasture
PA57,0,0.272247893,active pasture,pasture
PA58,0,0,active pasture,pasture
PR19,6,1.312549899,pasture regeneration,pasture
PR20,4,0.765501778,pasture regeneration,pasture
PR21,36,1.82903324,pasture regeneration,pasture
PR22,12,1.375102627,pasture regeneration,pasture
PR23,1,1.266397643,pasture regeneration,pasture
PR24,21,1.871864472,pasture regeneration,pasture
PR25,6,1.113992506,pasture regeneration,pasture
PR26,28,1.649689237,pasture regeneration,pasture
PR27,27,1.592049842,pasture regeneration,pasture
PR29,6,1.435761908,pasture regeneration,pasture
PR30,15,1.666489422,pasture regeneration,pasture
PR31,16,1.796215691,pasture regeneration,pasture
PR32,16,1.685077254,pasture regeneration,pasture
PR33,1,1.052204486,pasture regeneration,pasture
PR34,38,1.75875446,pasture regeneration,pasture
PR36,9,1.698149216,pasture regeneration,pasture
