"Plot_ID","taxon","animal_species","plant_species","type","unit","RegTime","Treatment2","method","Treatment3"
"CA60","Birds","Ramphocelus_flammigerus","Lantana_sp.","Swallowed","fruit",0,"active cacao","direct_obs","regeneration early"
"CR01","Birds","Manacus_manacus","Palicourea_timbiquensis","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Ceratopipra_mentalis","Palicourea_timbiquensis","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Coereba_flaveola","Palicourea_timbiquensis","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Euphonia_xanthogaster","Palicourea_timbiquensis","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Tachyphonus_delatrii","Palicourea_timbiquensis","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Lepidothrix_coronata","Palicourea_timbiquensis","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Lipaugus_unirufus","Palicourea_timbiquensis","CarriedAway","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Lepidothrix_coronata","Miconia_conocuatrecasii","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Thraupis_palmarum","Vismia_baccifera","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Tangara_larvata","Cecropia_hispidissima","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Tangara_palmeri","Cecropia_hispidissima","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Thraupis_palmarum","Cecropia_hispidissima","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Ramphocelus_flammigerus","Cecropia_hispidissima","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Lipaugus_unirufus","Cecropia_hispidissima","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Tangara_palmeri","Cecropia_garciae","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Cyanocompsa_cyanoides","A-CR0101","Pecked","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Lepidothrix_coronata","A-CR0101","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR01","Birds","Tangara_florida","A-CR1303","Swalloweded","fruit",6,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Tachyphonus_delatrii","Miconia_centronioides","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Manacus_manacus","Miconia_centronioides","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Tangara_cyanicollis","A-CR1303","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Manacus_manacus","A-CR1303","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Dacnis_venusta","A-CR1303","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Tangara_gyrola","A-CR1303","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR02","Birds","Tangara_lavinia","A-CR1303","Swalloweded","fruit",8,"cacao regeneration early","direct_obs","regeneration early"
"CR04","Birds","Ramphastos_ambiguus","Miconia_multiplicata","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Cephalopterus_penduliger","Miconia_multiplicata","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Lipaugus_unirufus","Miconia_multiplicata","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Trogon_chionurus","Miconia_multiplicata","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Ramphastos_ambiguus","Damburneya_purpurea","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Lipaugus_unirufus","Damburneya_purpurea","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Ramphastos_brevis","Damburneya_purpurea","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Cephalopterus_penduliger","Damburneya_purpurea","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Penelope_purpurascens","Damburneya_purpurea","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR04","Birds","Ramphastos_brevis","Pentagonia_macrophylla","Swallowed","fruit",21,"cacao regeneration late","direct_obs","regeneration late"
"CR05","Birds","Thraupis_episcopus","Vismia_baccifera","Pecked","fruit",12,"cacao regeneration early","direct_obs","regeneration early"
"CR05","Birds","Ramphocelus_flammigerus","Vismia_baccifera","Swallowed","fruit",12,"cacao regeneration early","direct_obs","regeneration early"
"CR05","Birds","Dacnis_berlepschi","Vismia_baccifera","Pecked","fruit",12,"cacao regeneration early","direct_obs","regeneration early"
"CR05","Birds","Tachyphonus_delatrii","Vismia_baccifera","Pecked","fruit",12,"cacao regeneration early","direct_obs","regeneration early"
"CR05","Birds","Thraupis_palmarum","Vismia_baccifera","Swallowed","fruit",12,"cacao regeneration early","direct_obs","regeneration early"
