"animal_species","BeakWidth","BodyMass","HWIndex"
"Amazona_autumnalis",16.4285714285714,416,31.04
"Amazona_farinosa",20.5428571428571,626,27.86
"Ara_ambiguus",32.34,1300,39.175
"Arremon_aurantiirostris",6.57407407407407,34.5,11.3076923076923
"Arremonops_conirostris",6.22105263157895,35.9,8.15
"Baryphthengus_martii",11.652380952381,165,16.1125
"Cacicus_cela",7.94,85.5,27.2181818181818
"Capito_squamatus",8.3,59.3,19.35
"Catharus_ustulatus",4.40645161290323,30.3,30.6142857142857
"Cephalopterus_penduliger",18.42,338,14.375
"Ceratopipra_mentalis",4.38333333333333,15,16.4857142857143
"Chlorophanes_spiza",4.46111111111111,19,24.7363636363636
"Chlorothraupis_olivacea",8.225,39,18.3
"Chrysothlypis_salmoni",3.9,12.5,17.48
"Coereba_flaveola",3.6,10,19.2047619047619
"Crypturellus_berlepschi",5.34,516.8,23.3
"Crypturellus_cinereus",5.15,506.6,18.6714285714286
"Crypturellus_soui",4.2,216.2,25.4181818181818
"Cyanerpes_caeruleus",3.44,12,25.4866666666667
"Cyanerpes_cyaneus",3.75555555555556,14,25.95
"Cyanocompsa_cyanoides",10.2096774193548,32.5,13.77
"Dacnis_berlepschi",3.625,12.8,19.075
"Dacnis_cayana",3.7,13,24.7
"Dacnis_venusta",3.8125,16.1,26.3
"Electron_platyrhynchum",14.8,73,17.7
"Euphonia_laniirostris",5.58292682926829,15,23.3904761904762
"Euphonia_saturata",3.94,13.3,22.225
"Euphonia_xanthogaster",4.82777777777778,13,22.3757575757576
"Geotrygon_montana",3.47586206896552,133.9,27.1
"Geotrygon_purpurata",3.225,129,26.275
"Heterospingus_xanthopygius",6.38,38.8,20.2666666666667
"Lepidothrix_coronata",3.66363636363636,8.3,17.875
"Leptotila_verreauxi",3.63157894736842,146.9,22.15
"Leptotrygon_veraguensis",2.64,155,27.15
"Lipaugus_unirufus",7.18,82.1,20.45
"Machaeropterus_deliciosus",3.84,12.7,20.525
"Manacus_manacus",4.42142857142857,16.7,15.9117647058824
"Masius_chrysopterus",3.82,11.5,12.8
"Mitrospingus_cassinii",5.38333333333333,40.4,12.55
"Myiobius_barbatus",4.26,11,16.82
"Myiozetetes_cayanensis",5.35384615384615,25.9,15.425
"Odontophorus_erythrops",8.86,335,27.05
"Ornithion_brunneicapillus",3.025,7.1,12.65
"Patagioenas_goodsoni",3.98333333333333,176,34.2
"Patagioenas_subvinacea",3.75,162.5,34.325
"Penelope_ortoni",8.675,872,12.2
"Penelope_purpurascens",10.1428571428571,2060,12.0333333333333
"Piaya_cayana",8.79285714285714,102,10.9842105263158
"Pteroglossus_torquatus",22.8809523809524,219.1,15.6909090909091
"Pyrilia_pulchra",10.8,150,36.5
"Pyrrhura_melanura",10.72,70.5,42.05
"Querula_purpurata",12.48,107.4,17.6
"Ramphastos_ambiguus",38.25,651.7,10.125
"Ramphastos_brevis",32.875,412,14.35
"Ramphocelus_flammigerus",8.21666666666667,33,15.075
"Rhynchortyx_cinctus",7.94,150,36.25
"Rhytipterna_holerythra",7.07619047619048,36.8,16.5
"Saltator_coerulescens",8.83333333333333,54.9,14.5083333333333
"Saltator_grossus",10.3,44.2,18.5666666666667
"Saltator_maximus",8.86206896551724,47.6,16.94
"Sapayoa_aenigma",7.7,20.8,19.025
"Sicalis_flaveola",5.4,16.9,20.6083333333333
"Sporophila_corvina",5.27575757575758,10.6,17.8
"Tachyphonus_delatrii",4.92307692307692,18,15.6
"Tachyphonus_luctuosus",4.88333333333333,13,17.6416666666667
"Tachyphonus_rufus",6.13846153846154,34.4,16.1647058823529
"Tangara_cyanicollis",4.4625,17,21.9266666666667
"Tangara_florida",4.3,19.3,24.5
"Tangara_gyrola",4.83333333333333,21,21.08125
"Tangara_johannae",4.8,20,24.25
"Tangara_larvata",4.6,20,21.45
"Tangara_lavinia",4.25,24,23.9
"Tangara_palmeri",5.2,32.3,21.275
"Thraupis_episcopus",6.40172413793103,35,22.8466666666667
"Thraupis_palmarum",5.87391304347826,39,21.85
"Tinamus_major",5.2,1026.2,20.94
"Tityra_inquisitor",11.625,43.1,26.475
"Trogon_chionurus",10.92,89.7,35.275
"Trogon_comptus",9.85,114,33.425
"Turdus_maculirostris",4.87142857142857,69.6,18.05
