"animal_species","BodyMass","GapeWidth"
"Alouatta_palliata",6120,60.43375
"Ateles_fusciceps",9050,55.9333333333333
"Cebus_capucinus",2984.44,NA
"Cuniculus_paca",8172.55,NA
"Dasyprocta_punctata",2674.98,37.215
"Didelphis_marsupialis",1091.16,31.816
"Eira_barbara",3910.03,44.32
"Heteromys_australis",267.5,12.1716666666667
"Hoplomys_gymnurus",240,23.0775
"Marmosa_isthmica",56.67,15.16
"Notosciurus_granatensis",250,33.4
"Proechimys_semispinosus",360.5,26.8021428571429
"Tayassu_pecari",32233.69,91.9633333333333
