"plant_species","FruitWidth","Height","CropMass"
"Theobroma_cacao",79.12,2.6417004048583,3469.93436532508
"Manihot_esculenta",15.6785714285714,2,29.7214285714286
"Lantana_sp.",3.44666666666667,4.3,86.592
"Cecropia_insignis",11.096875,25.25,226.858125
"Cecropia_hispidissima",5.63045454545454,18.3714285714286,127.009993506494
"Artocarpus_heterophyllus",212,5,NA
"A-CR1301",9.6155,1,1157.1
"Psidium_guajava",48.5833333333333,7.4,870.833333333333
"Chrysophyllum_cainito",44.5,13,1620.54
"Persea_americana",64.2266666666667,14,988
"Borojoa_sp.",NA,8.5,NA
"A-CA6401",NA,16,NA
"Cecropia_garciae",NA,22.1538461538462,NA
"Miconia_conocuatrecasii",4.89990099009901,6.53246753246753,103.648822682268
"A-CR0101",15.4775,2,131.25
"Piper_grande",12.5333333333333,2.25,151.883333333333
"Palicourea_timbiquensis",6.509,3.625,112.725
"Vismia_baccifera",9.48320754716981,13,1704.24223512337
"A-CR1601",2.201,1.25,49
"A-CR1303",5.544,6.25,36.9
"Banara_guianensis",9.105375,14.7647058823529,1426.78735294118
"Miconia_centronioides",6.03566666666667,3.41818181818182,135.952363636364
"Trema_micrantha",16.2320833333333,17.4545454545455,309.303977272727
"Maytenus_macrocarpa",13.4765,26.5,4162.45
"Miconia_multiplicata",5.09338983050847,9,145.727845061114
"Miconia_sp3",4.74,2.18181818181818,16.0125
"Wettinia_quinaria",18.1231666666667,18.1794871794872,3812.96461538462
"Pentagonia_macrophylla",6.403,10.1428571428571,41.16
"Damburneya_purpurea",10.879,25,856.7
"Coussarea_latifolia",31.196,13,204.75
"Piper_pequeina",9.20320987654321,2.2962962962963,251.974622770919
"A-CR0501",13.391,2,107.028
"Exarata_chocoensis",19.948,23,1189.332
"A-CR0601",11.53,31,377.6
"Turpinia_occidentalis",9.43769230769231,24.5,942.711538461538
"Pleuranthodendron_lindenii",NA,19,NA
"Otoba_novogranatensis",25.3966666666667,30.0714285714286,6567.92
"Coffea_arabica",11.747,6,470
"Miconia_'grande'",8.97742857142857,8.61538461538461,567.307692307692
"Palicourea_paratinctoria",5.1625,6.07692307692308,80.6224615384616
"Ficus_brevibracteata",10.0915,19.8333333333333,157.185
"A-PR2204",6.91,0.545454545454545,26.6606060606061
"Bactris_setulosa",19.349696969697,14.9,1137.89393939394
"Palicourea_guianensis",NA,14,NA
"A-CR1111",5.3905,1,19.738
"Virola_elongata",29.8975,28,4240.25
"A-PR3201",5.16530612244898,4.88888888888889,34.4440816326531
"A-CR1202",4.918,1,2.4
"Guatteria_pittieri",4.6075,24,258.3
"A-CR1302",6.6675,2,27.625
"Grias_peruviana",58.865,6.5,5967
"Margaritaria_nobilis",9.699,21,246
"Palicourea_pseudaxillaris",5.188,6.55555555555556,215.74
"Miconia_sp5",4.434,1.16666666666667,4.91733333333333
"A-CR1803",7.169,4,988
"Socratea_exorrhiza",28.186,26.5,131.325
"Eschweilera_decolorans",25.96875,56,1976.25
"Sterculia_corrugata",18.82,46,5640
